"nova_long","co_unidade","co_cnes","nu_cnpj_ma","tp_pfpj","nivel_dep","no_razao_s","no_fantasi","no_logrado","nu_enderec","no_complem","no_bairro","co_cep","nu_cnpj","co_cliente","tp_unidade","co_estado_","co_municip","co_motivo_","nu_latitud","nu_longitu","co_naturez","tipo_geo","dep_admin","tp_unida_1","ajuste_geo","cd_setor","nova_lat","no_municipio","sg_uf","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"-46.618495","3513800046329",46329,"46374500000194",3,3,"SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO","SERVICO DE REABILITACAO LUCY MONTORO DE DIADEMA","AV ANTONIO PIRANGA","614","2 ANDAR","CENTRO",9911160,"46374500027637",2,4,35,351380,"NA","-23.6858587","-46.6123661",1023,0,1,2,1,"351380105000538","-23.686369","Diadema","SP","-23.686050073068376","-46.61883326288208","numero_aproximado","da03","7","AVENIDA ANTONIO PIRANGA, 614 (aprox) - CENTRO, DIADEMA - SP",1,"351380105000538","351380105000899","-23.686050073068376","-46.61883326288208","0","49.43746498","1","25.17722828",False,True
"-46.585102","3513800997641",997641,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE TRIAGEM DE SINDROMES RESPIRATORIAS AGUDAS","RUA DOS CARIRIS","195","NA","PIRAPORINHA",9951420,"NA",3,1,35,351380,"NA","-23.686","-46.623",1244,0,1,1,1,"351380105000161","-23.689318","Diadema","SP","-23.69080924987793","-46.58464813232422","numero","dn03","6","RUA DOS CARIRIS, 195 - PIRAPORINHA, DIADEMA - SP, 09951-420",2,"351380105000161","351380105000161","-23.69080924987793","-46.58464813232422","0","172.139438","1","0",True,NULL
"-46.616207","3513802034417",2034417,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CAPS III AD ESPACO FERNANDO RAMOS DA SILVA","RUA MOACIAR GOULART CUNHA CALDAS","111","NA","CENTRO",9911450,"NA",3,70,35,351380,"NA","-23.6907689","-46.6259787",1244,0,1,5,1,"351380105000461","-23.690741","Diadema","SP","-23.686749183323972","-46.62545073048071","localidade","db01","1360","CENTRO, DIADEMA - SP",27190,"351380105000461","351380105000531","-23.686749183323972","-46.62545073048071","0","1040.66113617","1","941.78734851",False,False
"-46.583043","3513802035553",2035553,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS PIRAPORINHA SAUDE DA FAMILIA","PRACA RUI BARBOSA","27","NA","PIRAPORINHA",9951530,"NA",3,2,35,351380,"NA","-23.69103975","-46.583043464455784",1244,0,1,1,0,"351380105000161","-23.69104","Diadema","SP","-23.690702438354492","-46.58312225341797","numero","dn03","6","PRACA RUI BARBOSA, 27 - PIRAPORINHA, DIADEMA - SP, 09951-540",1,"351380105000161","351380105000161","-23.690702438354492","-46.58312225341797","0","38.39289594","1","0",True,NULL
"-46.624198","3513802051761",2051761,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","UBS ELDORADO SAUDE DA FAMILIA","AV NOSSA SENHORA DOS NAVEGANTES","288","NA","ELDORADO",9972260,"NA",3,2,35,351380,"NA","-23.7178471","-46.62405386127232",1244,0,1,1,1,"351380105000987","-23.717483","Diadema","SP","-23.718157474958886","-46.62334656237135","numero_aproximado","da03","8","AVENIDA NOSSA SENHORA DOS NAVEGANTES, 288 (aprox) - ELDORADO, DIADEMA - SP",1,"351380105000987","351380105000636","-23.718157474958886","-46.62334656237135","0","114.62118832","1","13.5554858",False,True
"-46.620124","3513802051788",2051788,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE ATENCAO PSICOSSOCIAL III DE DIADEMA NORTE","RUA CAPIBARIBE","193","NA","JARDIM CAMPANARIO",9930530,"NA",2,70,35,351380,"NA","-23.686","-46.623",1244,0,1,5,1,"351380105000043","-23.670447","Diadema","SP","-23.670499801635742","-46.61997985839844","numero","dn04","6","RUA CAPIBARIBE, 193 - CAMPANARIO, DIADEMA - SP",1,"351380105000043","351380105000043","-23.670499801635742","-46.61997985839844","0","15.81002826","1","0",True,NULL
"-46.587164","3513802080028",2080028,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","HOSPITAL MUNICIPAL DE DIADEMA HMD","AV PIRAPORINHA","1682","NA","PIRAPORINHA",9950000,"NA",3,5,35,351380,"NA","-23.69189725","-46.5871640148153",1244,0,1,3,0,"351380105000162","-23.691897","Diadema","SP","-23.691713333129883","-46.58713150024414","numero","dn03","6","AVENIDA PIRAPORINHA, 1682 - PIRAPORINHA, DIADEMA - SP, 09950-000",1,"351380105000162","351380105000162","-23.691713333129883","-46.58713150024414","0","20.68922355","1","0",True,NULL
"-46.609089","3513802084163",2084163,"46374500000194",3,3,"SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO","HOSPITAL ESTADUAL DE DIADEMA HOSPITAL SERRARIA","RUA JOSE BONIFACIO","1641","NA","SERRARIA",9980150,"46374500013687",3,5,35,351380,"NA","-23.686","-46.623",1023,0,1,3,1,"351380105000646","-23.706553","Diadema","SP","-23.70697021484375","-46.60969543457031","numero","dn03","6","RUA JOSE BONIFACIO, 1641 - SERRARIA, DIADEMA - SP, 09980-150",1,"351380105000646","351380105000646","-23.70697021484375","-46.60969543457031","0","77.22917761","1","0",True,NULL
"-46.618495","3513802086107",2086107,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CEREST CENTRO DE REF EM SAUDE DO TRABALHADOR DE DIADEMA","AV ANTONIO PIRANGA","614","3 ANDAR","CENTRO",9911160,"NA",3,36,35,351380,"NA","-23.6794023","-46.5976889",1244,0,1,2,1,"351380105000538","-23.686369","Diadema","SP","-23.686050073068376","-46.61883326288208","numero_aproximado","da03","7","AVENIDA ANTONIO PIRANGA, 614 (aprox) - CENTRO, DIADEMA - SP",1,"351380105000538","351380105000899","-23.686050073068376","-46.61883326288208","0","49.43746498","1","25.17722828",False,True
"-46.617136","3513802801043",2801043,"46523247000193",3,3,"PREFEITURA DO MUNICIPIO DE DIADEMA","CENTRO DE REF E TREIN DST AIDS DE DIADEMA","AVENIDA ANTONIO PIRANGA","700","2 ANDAR","CENTRO",9911160,"NA",3,36,35,351380,"NA","-23.6821539","-46.6036496",1244,0,1,2,1,"351380105000538","-23.686098","Diadema","SP","-23.686248779296875","-46.61842346191406","numero","dn03","6","AVENIDA ANTONIO PIRANGA, 700 - CENTRO, DIADEMA - SP, 09911-160",1,"351380105000538","351380105000538","-23.686248779296875","-46.61842346191406","0","132.16733953","1","0",True,NULL
