"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"0","AV ANTONIO PIRANGA CENTRO","614","3 ANDAR","CENTRO","107930","220847873","AVENIDA  ANTONIO PIRANGA CENTRO","615",NULL,"CENTRO","100","19.4","100","54.62","-23.686369","-46.618495","351380105000538","-23.685955","-46.618457","351380105000899","-23.685955","-46.618457","0","46.19710107","1","22.60888151",False,True
"1","AVENIDA ANTONIO PIRANGA CENTRO","700","2 ANDAR","CENTRO","50282","49219193","AVENIDA  ANTONIO PIRANGA CENTRO","700",NULL,"CENTRO","100","18.62","100","53.35","-23.686098","-46.617136","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","132.21072973","1","0",True,NULL
"2","AV ANTONIO PIRANGA CENTRO","614","2 ANDAR","CENTRO","107930","220847873","AVENIDA  ANTONIO PIRANGA CENTRO","615",NULL,"CENTRO","100","19.4","100","54.62","-23.686369","-46.618495","351380105000538","-23.685955","-46.618457","351380105000899","-23.685955","-46.618457","0","46.19710107","1","22.60888151",False,True
"3","RUA DOS CARIRIS PIRAPORINHA","195",NULL,"PIRAPORINHA","3610","49343814","RUA  DOS CARIRIS PIRAPORINHA","195",NULL,"PIRAPORINHA","100","22.36","100","59.02","-23.689318","-46.585102","351380105000161","-23.69081","-46.58465","351380105000161","-23.69013","-46.584779","76.74510759","172.16885097","1","0",True,NULL
"4","RUA MOACIAR GOULART CUNHA CALDAS CENTRO","111",NULL,"CENTRO","70850","49426872","RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO","111",NULL,"CONCEICAO","29.09","21.29","10.41","23.22","-23.690741","-46.616207","351380105000461","-23.690625","-46.616203","351380105000461","-23.690625","-46.616203","0","12.90505823","1","0",True,NULL
"5","PRACA RUI BARBOSA PIRAPORINHA","27",NULL,"PIRAPORINHA","160130","49344051","PRACA  RUI BARBOSA PIRAPORINHA","27",NULL,"PIRAPORINHA","100","17.61","100","51.65","-23.69104","-46.583043","351380105000161","-23.690702","-46.583124","351380105000161","-23.690702","-46.583124","0","38.47827948","1","0",True,NULL
"6","AV NOSSA SENHORA DOS NAVEGANTES ELDORADO","288",NULL,"ELDORADO","44670","49371408","AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","243",NULL,"ELDORADO","100","13.61","100","44.06","-23.717483","-46.624198","351380105000987","-23.717367","-46.623991","351380105000636","-23.717367","-46.623991","0","24.70749521","1","0",False,True
"7","RUA CAPIBARIBE JARDIM CAMPANARIO","193",NULL,"JARDIM CAMPANARIO","115200","49231842","RUA  CAPIBARIBE CAMPANARIO","193",NULL,"CAMPANARIO","100","21.14","19.37","46.25","-23.670447","-46.620124","351380105000043","-23.670499","-46.619981","351380105000045","-23.670499","-46.619981","0","15.66902887","1","0",False,True
"8","AV PIRAPORINHA PIRAPORINHA","1682",NULL,"PIRAPORINHA","30100","49344461","AVENIDA  PIRAPORINHA PIRAPORINHA","1682",NULL,"PIRAPORINHA","100","21.05","100","57.14","-23.691897","-46.587164","351380105000162","-23.691713","-46.587132","351380105000162","-23.691713","-46.587132","0","20.71772578","1","0",True,NULL
"9","RUA JOSE BONIFACIO SERRARIA","1641",NULL,"SERRARIA","74232","200549502","RUA  JOSE BONIFACIO SERRARIA","1641",NULL,"SERRARIA","100","19.2","100","54.3","-23.706553","-46.609089","351380105000646","-23.706971","-46.609694","351380105000646","-23.706971","-46.609694","0","77.16501608","1","0",True,NULL
