"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","empate","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
90142,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000000E677E35074A47C0C6C03A8E1F6637C0","0101000020E61000000E677E35074A47C0C6C03A8E1F6637C0",35009274,2024,"SP",3550308,"São Paulo","Tremembé",355030881,"CR P CONV TIA ALZIRA",1,0,"DOS CANTAROS","3",NULL,"NUCLEO DO ENGORDADOR","2368045","Google 2025","1","-23.398919","-46.578345","355030881000187","-23.573291190553306","-46.61852368715545","municipio","dm01","23753","SAO PAULO - SP",5648466,False,"355030881000187","355030814000079","-23.573291190553306","-46.61852368715545","0","19817.56914664","1","19274.94142216",False,False
90151,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000D1F2D11C386047C0F1B22E87406637C0","0101000020E6100000D1F2D11C386047C0F1B22E87406637C0",35055530,2024,"SP",3550308,"São Paulo","Perus",355030861,"EMEF CANDIDO PORTINARI",1,0,"GUILHERME CORREIA DE MELO","408",NULL,"PERUS","5207050","Catálogo de Escolas - agosto/2024","0","-23.39942212","-46.75171242","355030861000087","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000087","355030861000172","-23.40535754458178","-46.75379815417726","0","693.46216112","1","446.46242227",False,False
90172,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000001FBDE13E725F47C0B309302C7F6637C0","0101000020E61000001FBDE13E725F47C0B309302C7F6637C0",35005446,2024,"SP",3550308,"São Paulo","Perus",355030861,"CEI INDIR PERUS I",1,0,"ESTEVAN RIBEIRO RESENDE","599",NULL,"PERUS","5202140","CEM 2022","0","-23.400378","-46.745674","355030861000164","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000164","355030861000172","-23.40535754458178","-46.75379815417726","0","996.94990125","1","765.25553301",False,False
90173,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000DB9B29BEEB5F47C0B1D2EEA18E6637C0","0101000020E6100000DB9B29BEEB5F47C0B1D2EEA18E6637C0",35439447,2024,"SP",3550308,"São Paulo","Perus",355030861,"ETEC GILDO MARCAL BEZERRA BRANDAO",1,0,"VARGAS PRESIDENTE","202","RUA","VILA CAIUBA","5207000","Catálogo de Escolas - agosto/2024","0","-23.4006139","-46.7493818","355030861000191","-23.400776920751","-46.74941896011006","localidade","db01","643","VILA CAIUBA, SAO PAULO - SP",836,False,"355030861000191","355030861000012","-23.400776920751","-46.74941896011006","0","18.51951516","1","6.17544094",False,True
90176,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000008FC2F5285C5F47C09F3C2CD49A6637C0","0101000020E61000008FC2F5285C5F47C09F3C2CD49A6637C0",35122063,2024,"SP",3550308,"São Paulo","Perus",355030861,"EMEF PHILO GONCALVES DOS SANTOS PROFA",1,0,"ALAGOA NOVA","S/N",NULL,"PERUS","5202260","Catálogo de Escolas - agosto/2024","0","-23.4008","-46.745","355030861000298","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000298","355030861000172","-23.40535754458178","-46.75379815417726","0","1030.97979553","1","1003.59434614",False,False
90177,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000004ECD8A4DD05F47C0033EE4D29D6637C0","0101000020E61000004ECD8A4DD05F47C0033EE4D29D6637C0",35925500,2024,"SP",3550308,"São Paulo","Perus",355030861,"FLORESTAN FERNANDES",1,0,"PRESIDENTE VARGAS","200","RUA","VILA CAIUBA","5207000","Catálogo de Escolas - agosto/2024","0","-23.4008457","-46.7485444","355030861000191","-23.400776920751","-46.74941896011006","localidade","db01","643","VILA CAIUBA, SAO PAULO - SP",836,False,"355030861000191","355030861000012","-23.400776920751","-46.74941896011006","0","89.57522221","1","6.17544094",False,True
90190,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000024456458C55F47C0A9C29FE1CD6637C0","0101000020E610000024456458C55F47C0A9C29FE1CD6637C0",35006495,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV JARDIM DAS BORBOLETAS",1,0,"PRESIDENTE VARGAS","102",NULL,"VILA CAIUBA","5207000","CEM 2022","0","-23.401579","-46.74821","355030861000012","-23.400776920751","-46.74941896011006","localidade","db01","643","VILA CAIUBA, SAO PAULO - SP",836,False,"355030861000012","355030861000012","-23.400776920751","-46.74941896011006","0","152.23427671","1","0",True,NULL
90208,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000003BDA1FC58C5E47C025CDDDB6086737C0","0101000020E61000003BDA1FC58C5E47C025CDDDB6086737C0",35092587,2024,"SP",3550308,"São Paulo","Perus",355030861,"EMEI CARMEN DA SILVA",1,0,"JULIO DE OLIVEIRA","170",NULL,"VILA FANTON","5201070","Catálogo de Escolas - agosto/2024","0","-23.40247672","-46.73867096","355030861000306","-23.405968987275163","-46.74945450325161","localidade","db01","379","VILA FANTON, SAO PAULO - SP",810,False,"355030861000306","355030861000146","-23.405968987275163","-46.74945450325161","0","1166.93023861","1","1103.51375112",False,False
90209,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000055302AA9136047C0D7A3703D0A6737C0","0101000020E610000055302AA9136047C0D7A3703D0A6737C0",35564904,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV ANALIA FRANCO",1,0,"DOUTOR JOAO RODRIGUES DE ABREU","237",NULL,"PERUS","5202090","Catálogo de Escolas - agosto/2024","0","-23.4025","-46.7506","355030861000150","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000150","355030861000172","-23.40535754458178","-46.75379815417726","0","455.49261399","1","311.46530627",False,False
90212,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000039D1AE42CA5F47C0BB0F406A136737C0","0101000020E610000039D1AE42CA5F47C0BB0F406A136737C0",35005033,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV ESPADINHA DE OURO",1,0,"DOUTOR JOAO RODRIGUES DE ABREU","10",NULL,"PERUS","5202090","CEM 2022","0","-23.40264","-46.74836","355030861000012","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000012","355030861000172","-23.40535754458178","-46.75379815417726","0","631.8829872","1","436.32964734",False,False
90216,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000AD69DE718A5E47C02CD49AE61D6737C0","0101000020E6100000AD69DE718A5E47C02CD49AE61D6737C0",35055566,2024,"SP",3550308,"São Paulo","Perus",355030861,"EMEF JULIO DE OLIVEIRA",1,0,"JULIO DE OLIVEIRA","160",NULL,"VILA FANTON","5201070","Catálogo de Escolas - agosto/2024","0","-23.4028","-46.7386","355030861000306","-23.405968987275163","-46.74945450325161","localidade","db01","379","VILA FANTON, SAO PAULO - SP",810,False,"355030861000306","355030861000146","-23.405968987275163","-46.74945450325161","0","1162.36243772","1","1103.51375112",False,False
90226,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000008F537424975F47C048BF7D1D386737C0","0101000020E61000008F537424975F47C048BF7D1D386737C0",35576189,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV FAMILIA MONTE BELO",1,0,"ANTONIO DE PADUA DIAS","63","F","PERUS","5202070","Catálogo de Escolas - agosto/2024","0","-23.4032","-46.7468","355030861000163","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000163","355030861000172","-23.40535754458178","-46.75379815417726","0","753.35773278","1","648.57887424",False,False
90236,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000006F8104C58F6147C0F31FD26F5F6737C0","0101000020E61000006F8104C58F6147C0F31FD26F5F6737C0",35464028,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV CORRE COTIA",1,0,"MOGEIRO","1085",NULL,"VILA PERUS","5206240","Catálogo de Escolas - agosto/2024","0","-23.4038","-46.7622","355030861000036","-23.406035621279763","-46.75978705027747","localidade","db01","958","VILA PERUS, SAO PAULO - SP",1658,False,"355030861000036","355030861000159","-23.406035621279763","-46.75978705027747","0","349.89594607","1","247.21366888",False,False
90250,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000D200DE02096247C00F0BB5A6796737C0","0101000020E6100000D200DE02096247C00F0BB5A6796737C0",35566251,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV BARRA MANTEIGA",1,0,"TABULEIROS DE VALENCA","433",NULL,"VILA INACIO","5206170","Catálogo de Escolas - agosto/2024","0","-23.4042","-46.7659","355030861000049","-23.404391876220703","-46.76456512451172","localidade","db01","236","VILA INACIO, SAO PAULO - SP",395,False,"355030861000049","355030861000171","-23.404391876220703","-46.76456512451172","0","137.88010853","1","126.2983559",False,False
90251,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000003B014D840D5F47C00F0BB5A6796737C0","0101000020E61000003B014D840D5F47C00F0BB5A6796737C0",35566639,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV EDUCAR BRINCANDO",1,0,"JOSE CORREIA PICANCO","622",NULL,"PERUS","5202200","Catálogo de Escolas - agosto/2024","0","-23.4042","-46.7426","355030861000299","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000299","355030861000172","-23.40535754458178","-46.75379815417726","0","1149.95420962","1","1026.93287439",False,False
90266,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000459E245D336147C03A5D16139B6737C0","0101000020E6100000459E245D336147C03A5D16139B6737C0",35000024,2024,"SP",3550308,"São Paulo","Perus",355030861,"GAVIAO PEIXOTO BRIGADEIRO",1,0,"MOGEIRO","710","RUA","VILA PERUS","5208230","Catálogo de Escolas - agosto/2024","0","-23.40471","-46.75938","355030861000273","-23.406035621279763","-46.75978705027747","localidade","db01","958","VILA PERUS, SAO PAULO - SP",1658,False,"355030861000273","355030861000159","-23.406035621279763","-46.75978705027747","0","153.14338854","1","82.46263872",False,True
90269,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000080DF54DEED5F47C0419FC893A46737C0","0101000020E610000080DF54DEED5F47C0419FC893A46737C0",35124709,2024,"SP",3550308,"São Paulo","Perus",355030861,"ANNA TAVARES COLEGIO EIEPG",1,0,"ANTONIO DE PADUA DIAS","689","RUA","PERUS","5202070","Catálogo de Escolas - agosto/2024","0","-23.404855","-46.74944667","355030861000151","-23.40535754458178","-46.75379815417726","localidade","db01","2520","PERUS, SAO PAULO - SP",12719,False,"355030861000151","355030861000172","-23.40535754458178","-46.75379815417726","0","447.55321571","1","179.52431944",False,False
90287,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000A496DEE5BF6147C05547F19EC16737C0","0101000020E6100000A496DEE5BF6147C05547F19EC16737C0",35238077,2024,"SP",3550308,"São Paulo","Perus",355030861,"CEI DIRET JACOB SALVADOR ZVEIBIL VER",1,0,"DOUTOR JOSE PACHECO E SILVA","S/N",NULL,"VILA INACIO","5206110","Catálogo de Escolas - agosto/2024","0","-23.40529817","-46.76366876","355030861000090","-23.404391876220703","-46.76456512451172","localidade","db01","236","VILA INACIO, SAO PAULO - SP",395,False,"355030861000090","355030861000171","-23.404391876220703","-46.76456512451172","0","136.09750192","1","3.89116047",False,True
90295,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000009D048074FB5F47C091DCF52DCE6737C0","0101000020E61000009D048074FB5F47C091DCF52DCE6737C0",35192922,2024,"SP",3550308,"São Paulo","Perus",355030861,"COLEGIO SIGLAN",1,0,"JOAO BATISTA FANTON","272","RUA","VILA FANTON","5203180","Catálogo de Escolas - agosto/2024","0","-23.4054898","-46.7498613","355030861000151","-23.405968987275163","-46.74945450325161","localidade","db01","379","VILA FANTON, SAO PAULO - SP",810,False,"355030861000151","355030861000146","-23.405968987275163","-46.74945450325161","0","67.54502406","1","19.4957099",False,True
90298,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000613255302A6147C0F241CF66D56737C0","0101000020E6100000613255302A6147C0F241CF66D56737C0",35566615,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV SONHO INFANTIL",1,0,"MOGEIRO","627",NULL,"VILA PERUS","5208230","Catálogo de Escolas - agosto/2024","0","-23.4056","-46.7591","355030861000172","-23.406035621279763","-46.75978705027747","localidade","db01","958","VILA PERUS, SAO PAULO - SP",1658,False,"355030861000172","355030861000159","-23.406035621279763","-46.75978705027747","0","85.21607799","1","83.94488986",False,True
90302,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000ED9A90D6186247C0FBEB1516DC6737C0","0101000020E6100000ED9A90D6186247C0FBEB1516DC6737C0",35578236,2024,"SP",3550308,"São Paulo","Perus",355030861,"CR P CONV CECILIA MEIRELES",1,0,"MARCONDES DE MOURA E COSTA","91",NULL,"VILA PERUS","5206180","CEM 2022","0","-23.405702","-46.766383","355030861000049","-23.406035621279763","-46.75978705027747","localidade","db01","958","VILA PERUS, SAO PAULO - SP",1658,False,"355030861000049","355030861000159","-23.406035621279763","-46.75978705027747","0","674.10702713","1","630.82338229",False,False
