"_id","_data_ingestion_id","_created_at","_updated_at","_geom","_geog","co_entidade","nu_ano_censo","sg_uf","co_municipio","no_municipio","no_distrito","co_distrito","no_entidade","tp_localizacao","tp_localizacao_diferenciada","ds_endereco","nu_endereco","ds_complemento","no_bairro","co_cep","fonte_geo","tipo_geo","latitude","longitude","cd_setor_2022","lat","lon","precisao","tipo_resultado","desvio_metros","endereco_encontrado","contagem_cnefe","empate","cd_setor_verdadeiro","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros_final","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
1,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000096AFCBF09F0E50C05B3FFD67CDDF28C0","0101000020E610000096AFCBF09F0E50C05B3FFD67CDDF28C0",11041420,2024,"RO",1100080,"Costa Marques","Costa Marques",110008005,"EPMEIF MARIA LUCINETE FIRMINO MIRANDA",2,0,"BR 429 KM 15",NULL,"ZONA RURAL",NULL,"76937000","Coordenadas Sede do Município","3","-12.437114","-64.228512","110008005000033","-12.259768923746275","-64.161521365258","municipio","dm01","44900","COSTA MARQUES - RO",5711,False,"110008005000033","110008005000011","-12.259768923746275","-64.161521365258","0","21019.62692116","1","20194.74108694",False,False
2,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000E48409A3593D4FC0AF5A99F04BDD24C0","0101000020E6100000E48409A3593D4FC0AF5A99F04BDD24C0",11049057,2024,"RO",1100114,"Jaru","Jaru",110011405,"EIEEF JAVEVYRA",2,2,"LINHA 625 KM 95","S/N","AREA INDIGENA","ZONA RURAL","76890000","Coordenadas Sede do Município","3","-10.43222","-62.479298","110011405000029","-10.465247073210952","-62.49459800923825","municipio","dm01","61101","JARU - RO",16764,False,"110011405000029","110011405000052","-10.465247073210952","-62.49459800923825","0","4035.59811259","1","3954.31989744",False,False
7018,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000BB922E47D9A44FC085B762DA920C24C0","0101000020E6100000BB922E47D9A44FC085B762DA920C24C0",11010932,2024,"RO",1101401,"Monte Negro","Monte Negro",110140105,"EMEIEF MARIO PALMERIO",2,0,"BR 421, LINHA C-50","LOTE 41",NULL,"ZONA RURAL","76888000","Catálogo de Escolas - agosto/2024","0","-10.0245579","-63.2878808","110140105000016","-10.231143613329785","-63.308743965355674","municipio","dm01","25311","MONTE NEGRO - RO",2370,False,"110140105000016","110140105000006","-10.231143613329785","-63.308743965355674","0","23084.55619506","1","19351.2485049",False,False
7035,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000007519A31A9BF44FC0B986BE60DC0E24C0","0101000020E61000007519A31A9BF44FC0B986BE60DC0E24C0",11041641,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF TIRADENTES",2,0,"LINHA 01, MARCO 20",NULL,NULL,NULL,"76880000","Catálogo de Escolas - agosto/2024","0","-10.0290251","-63.9109834","110045205000026","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000026","110045205000002","-10.20447469169859","-63.83498092958366","0","21209.04492445","1","9687.31930464",False,False
7039,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000BEC92544AF2C4FC0A185048C2E0F24C0","0101000020E6100000BEC92544AF2C4FC0A185048C2E0F24C0",11040238,2024,"RO",1101609,"Theobroma","Theobroma",110160905,"EMEIEF MANOEL RIBEIRO",2,1,"AVENIDA BRASIL Nº 2443",NULL,"AREA ASSENTAMENTO","ZONA RURAL","76866000","Catálogo de Escolas - agosto/2024","0","-10.029652","-62.3490987","110160905000016","-10.159759542664064","-62.385572742930464","municipio","dm01","28461","THEOBROMA - RO",1707,False,"110160905000016","110160905000012","-10.159759542664064","-62.385572742930464","0","15008.22906867","1","14391.3366211",False,False
7077,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000EBC37AA3563C4FC047640E38011824C0","0101000020E6100000EBC37AA3563C4FC047640E38011824C0",11047240,2024,"RO",1101609,"Theobroma","Theobroma",110160905,"EMEIEF JOSUE DE CASTRO",2,1,"LH C-50 ASSENTAMENTO ANTONIO CONSELHEIRO I",NULL,"AREA DE ASSENTAMENTO","ZONA RURAL","76866000","Catálogo de Escolas - agosto/2024","0","-10.0468843","-62.471394","110160905000012","-10.159759542664064","-62.385572742930464","municipio","dm01","28461","THEOBROMA - RO",1707,False,"110160905000012","110160905000012","-10.159759542664064","-62.385572742930464","0","15677.89513904","1","0",True,NULL
7144,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000B283C623239B4FC073A81931372624C0","0101000020E6100000B283C623239B4FC073A81931372624C0",11011106,2024,"RO",1101401,"Monte Negro","Monte Negro",110140105,"EMEIEF SANTA LUCIA",2,0,"BR 421 KM 25 LOTE 10","S/N","PREDIO PROPRIO","ZONA RURAL","76888000","Catálogo de Escolas - agosto/2024","0","-10.07463983","-63.21200988","110140105000017","-10.231143613329785","-63.308743965355674","municipio","dm01","25311","MONTE NEGRO - RO",2370,False,"110140105000017","110140105000006","-10.231143613329785","-63.308743965355674","0","20370.30302572","1","7376.38351241",False,True
7188,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E61000004E7C39DCDC7A4FC0A59BCC91F83124C0","0101000020E61000004E7C39DCDC7A4FC0A59BCC91F83124C0",11007346,2024,"RO",1100023,"Ariquemes","Ariquemes",110002305,"EMEIEF JORGE LUIZ MOULAZ",2,0,"BR 364 KM 491 - CAJAZEIRAS","KM 491",NULL,"ZONA RURAL","76878899","Catálogo de Escolas - agosto/2024","0","-10.09759956","-62.95986512","110002305000097","-9.914413869624408","-63.03236814099321","municipio","dm01","55536","ARIQUEMES - RO",35565,False,"110002305000097","110002305000001","-9.914413869624408","-63.03236814099321","0","21861.92076506","1","19548.68508289",False,False
7194,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E6100000A8E8A3E7711C4FC01D5723BBD23224C0","0101000020E6100000A8E8A3E7711C4FC01D5723BBD23224C0",11041692,2024,"RO",1101609,"Theobroma","Theobroma",110160905,"EMEIEF JOSILEI DA SILVA NASCIMENTO",2,0,"LINHA 605 KM 45 TV 10",NULL,"RURAL","RURAL","76866000","Catálogo de Escolas - agosto/2024","0","-10.099264","-62.2222261","110160905000004","-10.239700230685147","-62.39457633278587","localidade","db01","8032","RURAL, THEOBROMA - RO",12,False,"110160905000004","110160905000008","-10.239700230685147","-62.39457633278587","0","24488.40874585","1","17089.38846963",False,False
7208,8,"2025-08-26 09:59:31-03","2025-08-26 09:59:31-03","0101000020E610000081B80611840550C01D1EC2F8693C24C0","0101000020E610000081B80611840550C01D1EC2F8693C24C0",11062800,2024,"RO",1100452,"Buritis","Buritis",110045205,"EMEIEF MARIA MARTA BRAGA",2,0,"LINHA 3 KM 35 PA SAO DOMINGOS",NULL,NULL,NULL,"76880000","Catálogo de Escolas - agosto/2024","0","-10.117996","-64.0861857","110045205000027","-10.20447469169859","-63.83498092958366","municipio","dm01","16924","BURITIS - RO",3349,False,"110045205000027","110045205000002","-10.20447469169859","-63.83498092958366","0","29127.67082324","1","21825.69061046",False,False
