"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
"0","ROLIM DE MOURA DO GUAPORE",NULL,"ZONA RURAL",NULL,"101124","92554519","RUA  ROLIM DE MOURA SETOR 03","1845",NULL,"SETOR 03","22.85","15.44","11.33","19.08","-13.08366621","-62.27693003","110001530000001","-10.203584","-63.828227","110045205000003","-10.203584","-63.828227","0","362073.06305253","1","359800.15932617",False,False
"1","RUA AIRTON SENNA JARDIM DOS ESTADOS","4193","ESCOLA","JARDIM DOS ESTADOS","843444","1291069","RUA  AIRTON SENNA JARDIM NOVO ESTADO","3883",NULL,"JARDIM NOVO ESTADO","100","17.69","19.56","42.7","-10.4420037","-62.4656261","110011405000011","-10.419149","-62.479087","110011405000043","-10.419149","-62.479087","0","2936.88518408","1","2505.38548001",False,False
"2","BR 364 LINHA 619 KM 01 ZONA RURAL",NULL,"ZONA RURAL","ZONA RURAL","419930","110252886","RODOVIA  BR 364 BR 364 SAIDA PARA JARU","1","CASA","BR 364 SAIDA PARA JARU","28.52","16.07","11.77","21.98","-10.442004","-62.4656275","110011405000011","-10.699034","-62.26201","110015505000049","-10.698143","-62.2631775","161.51873251","36224.55230244","1","36071.78553305",False,False
"3","RUA RAIMUNDO BARRETO SETOR 07","890",NULL,"SETOR 07","951523","1283574","RUA  RAIMUNDO BARRETO SETOR 07","890",NULL,"SETOR 07","100","22.45","100","59.14","-10.4420014","-62.4656282","110011405000011","-10.450638","-62.477101","110011405000019","-10.450638","-62.477101","0","1579.9441282","1","1410.5494351",False,False
"4","RUA PIAUI DISTRITO DE BOM JESUS",NULL,NULL,"DISTRITO DE BOM JESUS","864146","91954647","RUA  PIAUI NOVO CACOAL","281",NULL,"NOVO CACOAL","100","14.04","12.33","34.07","-10.4420038","-62.4656369","110011405000011","-11.423059","-61.46321","110004905000021","-11.423059","-61.46321","0","154523.50805727","1","154105.93821095",False,False
"5","AVENIDA BRASIL SETOR 05","2633","EM FRENTE A IGREJA","SETOR 05","924487","1287027","AVENIDA  BRASIL SETOR 05","2633",NULL,"SETOR 05","100","25.43","100","63.03","-10.4420004","-62.4656477","110011405000011","-10.429914","-62.474921","110011405000029","-10.429914","-62.474921","0","1683.61857208","1","1259.60033867",False,False
"6","RUA OSVALDO CRUZ SETOR 04","2675","BAIRRO NOVO HORIZONT","SETOR 04","910498","1285312","RUA  OSVALDO CRUZ SETOR 04","2815",NULL,"SETOR 04","100","17.33","100","51.18","-10.4420068","-62.465645","110011405000011","-10.433884","-62.485909","110011405000024","-10.433884","-62.485909","0","2392.97283296","1","1953.26879501",False,False
"7","RUA MARGARETE FERREIRA COSTA JARDIM BELA VISTA","1254","SETOR 08","JARDIM BELA VISTA","548980","180232587","RUA  MARGARETE FERREIRA COSTA LINHA 608","2265",NULL,"LINHA 608","100","13.87","10.89","32.67","-10.4420132","-62.4656624","110011405000011","-10.459542","-62.45255","110011405000046","-10.459542","-62.45255","0","2419.70496592","1","2382.1061161",False,False
"8","LINHA 627 KM 90 JARU UARU ZONA RURAL",NULL,"JARU UARU","ZONA RURAL","43589","1292475","LINHA  627 LINHA 627","1",NULL,"LINHA 627","25.82","16.07","10.65","20.43","-10.4420036","-62.465758","110011405000011","-10.466337","-62.460967","110011405000052","-10.466337","-62.460967","0","2756.00614469","1","2651.20230115",False,False
"9","LINHA 617 ZONA RURAL",NULL,NULL,"ZONA RURAL","308201","110250335","LINHA  617 RESIDENCIAL JARDIM PRIMAVERA JARU RO","1",NULL,"RESIDENCIAL JARDIM PRIMAVERA JARU RO","100","16.07","11.12","35.17","-10.4418868","-62.4657928","110011405000011","-10.349313","-62.612391","110011405000058","-10.349266","-62.611864","57.88285321","19053.39601012","1","18609.36623038",False,False
"10","AVENIDA RIO BRANCO CENTRO","1253","SETOR 02","CENTRO","355434","1324866","RUA  RIO BRANCO CENTRO","1245",NULL,"CENTRO","100","16.26","100","49.26","-10.4418784","-62.4656997","110011405000011","-13.192098","-60.807246","110005605000008","-13.192098","-60.807246","0","355098.1194814","1","353800.87038779",False,NULL
"11","RUA GOIAS SETOR 02","3143",NULL,"SETOR 02","378139","1280830","RUA  GOIAS SETOR 02","3143",NULL,"SETOR 02","100","25.97","100","63.69","-10.441434","-62.4649284","110011405000011","-10.441486","-62.464715","110011405000011","-10.441486","-62.464715","0","24.0417625","1","0",True,NULL
"12","AVENIDA PADRE ADOLPHO RHOL SETOR 02","1260","CENTRO","SETOR 02","691846","215117381","RUA PADRE ADOLPHO RHOL ERNANDES GONCALVES","0",NULL,"ERNANDES GONCALVES","100","14.64","12.12","34.58","-10.4395948","-62.4670841","110011405000011","-11.164798","-61.912081","110025405000009","-11.164765","-61.912081","3.66943763","100883.04198125","1","100237.26734207",False,NULL
"13","RUA RIO DEJANEIRO SETOR 03","2436",NULL,"SETOR 03","77891","1197580","TRAVESSA  CAJUEIRO SETOR 01","3358",NULL,"SETOR 01","18.66","13.4","26.16","17.77","-10.4431285","-62.4706698","110011405000016","-9.913751","-63.03536","110002305000002","-9.913751","-63.03536","0","85349.39502585","1","84987.04012454",False,NULL
"14","RUA RIO DE JANEIRO LIBERDADE","2315","ESCOLA","LIBERDADE","3747","1234761","RUA  RIO DE JANEIRO LIBERDADE","3493","CASA","LIBERDADE","100","15.09","100","47.05","-10.4451256","-62.4731878","110011405000016","-11.531263","-61.006012","110009805000011","-11.531263","-61.006012","0","200583.71570371","1","199946.16655325",False,False
"15","RUA FLORIANOPOLIS SETOR 2","3045","ENFRENTE CEF","SETOR 2","445732","215173975","RUA  FLORIANOPOLIS SETOR 02","3045",NULL,"SETOR 02","100","24.65","19.37","49.32","-10.4419201","-62.4701933","110011405000017","-10.438738","-62.467621","110011405000010","-10.438738","-62.467621","0","452.02147657","1","191.76234627",False,True
