"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"ROLIM DE MOURA DO GUAPORE",NULL,"ZONA RURAL",NULL,13664,"1217579","AVENIDA  GUAPORE SETOR 06","4600","SALA 2","setor 06","100.0","0.0","0.0","70.0","-13.08366621","-62.27693003","110001530000001","-9.899046","-63.024182","110002305000063","-9.89939","-63.024199","38.29640854","363352.35012262","1","360574.66757836",False,False
1,"RUA AIRTON SENNA JARDIM DOS ESTADOS","4193.0","ESCOLA","jardim dos estados",35472,"91966740","RUA  AIRTON SENNA SAO DOMINGOS DO GUAPORE","3651","LOJA","sao domingos do guapore","100.0","87.07","43.9","91.8","-10.4420037","-62.4656261","110011405000011","-12.075406","-64.02903","110008035000004","-12.075406","-64.02903","0","249108.7691505","1","248398.36547722",False,False
2,"BR 364 LINHA 619 KM 01 ZONA RURAL",NULL,"ZONA RURAL","zona rural",5835,"1357856","RODOVIA  BR 364 TUCUMANZAL","0",NULL,"tucumanzal","100.0","0.0","40.0","74.0","-10.442004","-62.4656275","110011405000011","-8.782793","-63.895428","110020505060081","-8.782793","-63.895428","0","242092.77773565","1","241034.27977084",False,False
3,"RUA RAIMUNDO BARRETO SETOR 07","890.0",NULL,"setor 07",310907,"1294126","RUA  RAIMUNDO BARRETO SETOR 07","942",NULL,"setor 07","100.0","94.48","100.0","98.9","-10.4420014","-62.4656282","110011405000011","-10.450278","-62.477452","110011405000059","-10.450252500000001","-62.4774655","3.19674557","1587.04843194","1","1418.53105603",False,False
4,"RUA PIAUI DISTRITO DE BOM JESUS",NULL,NULL,"distrito de bom jesus",75504,"99571871","RUA  PIAUI CENTRO","2948",NULL,"centro","100.0","0.0","29.63","72.96","-10.4420038","-62.4656369","110011405000011","-11.037796","-62.674193","110130205000001","-11.037796","-62.674188","0.54569046","70057.58739688","1","69589.24404019",False,NULL
5,"AVENIDA BRASIL SETOR 05","2633.0","EM FRENTE A IGREJA","setor 05",12765,"1374971","AVENIDA  BRASIL CENTRO","2701",NULL,"centro","100.0","97.48","42.86","93.78","-10.4420004","-62.4656477","110011405000011","-9.421162","-61.999045","110013005000006","-9.421162","-61.999045","0","124486.18716424","1","123340.10036374",False,NULL
6,"RUA OSVALDO CRUZ SETOR 04","2675.0","BAIRRO NOVO HORIZONT","setor 04",36697,"109371793","AVENIDA  OSVALDO CRUZ SERRARIA","2489",NULL,"serraria","100.0","93.05","37.5","92.36","-10.4420068","-62.465645","110011405000011","-10.778188","-65.329604","110010605000006","-10.778188","-65.329604","0","315236.10912723","1","315254.53269602",False,False
7,"RUA MARGARETE FERREIRA COSTA JARDIM BELA VISTA","1254.0","SETOR 08","jardim bela vista",548983,"180232590","RUA  MARGARETE FERREIRA COSTA LINHA 608","1955",NULL,"linha 608","100.0","64.14","23.08","85.14","-10.4420132","-62.4656624","110011405000011","-10.457704","-62.453769","110011405000046","-10.457704","-62.453769","0","2176.13289743","1","2139.53021734",False,False
8,"LINHA 627 KM 90 JARU UARU ZONA RURAL",NULL,"JARU UARU","zona rural",30807,"1164832","RUA  E JARDIM VITORIA","4934","CASA","jardim vitoria","100.0","0.0","33.33","73.33","-10.4420036","-62.465758","110011405000011","-11.414154","-61.477654","110004905000107","-11.414128","-61.477654","2.89107207","152718.68595776","1","152293.89465144",False,False
9,"LINHA 617 ZONA RURAL",NULL,NULL,"zona rural",49705,"180232636","LINHA  E RIOZINHO","2375",NULL,"riozinho","100.0","0.0","33.33","73.33","-10.4418868","-62.4657928","110011405000011","-11.498302","-61.369324","110004910000035","-11.414154","-61.370144","9357.27029604","167704.98115923","1","167245.26355968",False,NULL
10,"AVENIDA RIO BRANCO CENTRO","1253.0","SETOR 02","centro",46926,"1158891","RUA  RIO BRANCO CENTRO","1843","TERREO","centro","100.0","67.99","100.0","93.6","-10.4418784","-62.4656997","110011405000011","-11.436562","-61.448596","110004905000010","-11.436562","-61.448596","0","156726.39685401","1","156290.05232482",False,False
11,"RUA GOIAS SETOR 02","3143.0",NULL,"setor 02",26379,"91969057","RUA  GOIAS VISTA ALEGRE","1168",NULL,"vista alegre","100.0","37.16","30.0","80.43","-10.441434","-62.4649284","110011405000011","-11.54188","-61.018769","110009805000037","-11.54188","-61.018769","0","199726.19238754","1","199345.20133742",False,False
12,"AVENIDA PADRE ADOLPHO RHOL SETOR 02","1260.0","CENTRO","setor 02",691837,"215117042","RUA PADRE ADOLPHO RHOL ERNANDES GONCALVES","1321",NULL,"ernandes goncalves","100.0","95.38","15.38","90.61","-10.4395948","-62.4670841","110011405000011","-11.164809","-61.9161","110025405000009","-11.164809","-61.9161","0","100620.8603523","1","99975.19295926",False,NULL
