"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"IRMA PIA","127.0",NULL,"JAGUARE",275847,"60193508","RUA  IRMA PIA","310.0",NULL,"JAGUARE","100.0","40.97","100.0","78.19","-23.548692","-46.750794","355030841000030","-23.550024","-46.750191","355030841000030","-23.550024","-46.750191","0","160.35971358","1","0",True,NULL
1,"LOBATO","241.0",NULL,"VILA NOVA",466446,"62320685","RUA  LOBATO","244.0",NULL,"SAPOPEMBA","100.0","98.77","22.22","89.75","-23.592314","-46.532759","355030876000282","-23.592236","-46.53287","355030876000282","-23.592236","-46.53287","0","14.25355112","1","0",True,NULL
2,"MOLIERE","335.0",NULL,"VILA SOFIA",990652,"58551138","RUA  MOLIERE","335.0",NULL,"CAMPO GRANDE","100.0","100.0","27.27","90.0","-23.658654","-46.692401","355030816000095","-23.658461","-46.692511","355030816000095","-23.658461","-46.692511","0","24.20901974","1","0",True,NULL
3,"NEWTON PRADO","533.0",NULL,"BOM RETIRO",258509,"94729198","RUA  NEWTON PRADO","607.0",NULL,"BOM RETIRO","100.0","87.81","100.0","87.56","-23.523129","-46.640945","355030809000030","-23.522601","-46.641074","355030809000104","-23.522601","-46.641074","0","60.16611625","1","17.99717141",False,True
4,"MINISTRO GODOI","275.0",NULL,"PERDIZES",224018,"60773860","RUA MINISTRO GODOI","969.0",NULL,"PERDIZES","100.0","28.38","100.0","75.68","-23.532193","-46.668548","355030806000078","-23.537707","-46.671796","355030860000341","-23.537707","-46.671796","0","696.82693623","1","585.00343145",False,False
5,"IRMA CAROLINA","399.0",NULL,"BELENZINHO",206183,"205195497","RUA IRMA CAROLINA","96.0",NULL,"BELEM","100.0","24.06","53.33","74.81","-23.538703","-46.585449","355030808000066","-23.539712","-46.58827","355030808000020","-23.539712","-46.58827","0","308.6900724","1","99.6502124",False,True
6,"JAGUARIBE","354.0",NULL,"VILA BUARQUE",1667580,"224336287","RUA  JAGUARIBE","155.0",NULL,"VILA BUARQUE","100.0","43.79","100.0","78.76","-23.5423196","-46.6512235","355030826000225","-23.541695","-46.650089","355030826000240","-23.541695","-46.650089","0","134.90288585","1","80.61535136",False,True
7,"LORD COCKRANE",NULL,NULL,"IPIRANGA",331323,"59050049","RUA  LORD COCKRANE","26.0",NULL,"IPIRANGA","100.0",NULL,"100.0","100.0","-23.59255827","-46.60173452","355030834000182","-23.593163","-46.607223","355030834000018","-23.593163","-46.607223","0","563.30711735","1","377.86064831",False,False
8,"RUA NOVA YORK","927.0",NULL,"BROOKLIN PAULISTA",324176,"59107825","RUA  NOVA YORK","927.0",NULL,"ITAIM BIBI","100.0","100.0","44.44","90.0","-23.610862","-46.6806514","355030835000255","-23.610788","-46.680593","355030835000255","-23.610788","-46.680593","0","10.15439702","1","0",True,NULL
9,"INDIANA","1096.0",NULL,"BROOKLIN PAULISTA",398480,"59147339","RUA  INDIANA","95.0",NULL,"ITAIM BIBI","100.0","8.67","44.44","71.73","-23.612894","-46.681922","355030835000341","-23.614248","-46.680085","355030835000199","-23.614248","-46.680085","0","240.20259836","1","131.29909919",False,False
10,"JOVINIANO BRANDAO CORONEL","407.0",NULL,"VILA PRUDENTE",1172597,"60037815","RUA CORONEL JOVINIANO BRANDAO","363.0",NULL,"MOOCA","100.0","89.19","11.11","87.84","-23.56475472","-46.60126266","355030853000147","-23.575395","-46.585727","355030853000177","-23.575395","-46.585727","0","1976.58516441","1","1854.4263572",False,False
