"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"IRMA PIA JAGUARE","127.0",NULL,"jaguare",275847,"60193508","RUA  IRMA PIA JAGUARE","310.0",NULL,"jaguare","100.0","40.97","100.0","88.19","-23.548692","-46.750794","355030841000030","-23.550024","-46.750191","355030841000030","-23.550024","-46.750191","0","160.35971358","1","0",True,NULL
1,"LOBATO VILA NOVA","241.0",NULL,"vila nova",5875,"58796104","RUA  FARIA LOBATO VILA SANTA CLARA","240.0",NULL,"vila santa clara","100.0","99.59","61.54","96.07","-23.592314","-46.532759","355030876000282","-23.578138","-46.569033","355030801000099","-23.578138","-46.569033","0","4018.61366257","1","3944.47937011",False,False
2,"MOLIERE VILA SOFIA","335.0",NULL,"vila sofia",990652,"58551138","RUA  MOLIERE CAMPO GRANDE","335.0",NULL,"campo grande","100.0","100.0","27.27","92.73","-23.658654","-46.692401","355030816000095","-23.658461","-46.692511","355030816000095","-23.658461","-46.692511","0","24.20901974","1","0",True,NULL
3,"NEWTON PRADO BOM RETIRO","533.0",NULL,"bom retiro",258509,"94729198","RUA  NEWTON PRADO BOM RETIRO","607.0",NULL,"bom retiro","100.0","87.81","100.0","97.56","-23.523129","-46.640945","355030809000030","-23.522601","-46.641074","355030809000104","-23.522601","-46.641074","0","60.16611625","1","17.99717141",False,True
4,"MINISTRO GODOI PERDIZES","275.0",NULL,"perdizes",125921,"58573199","RUA MINISTRO GODOI BARRA FUNDA","310.0",NULL,"barra funda","100.0","88.71","21.05","89.85","-23.532193","-46.668548","355030806000078","-23.531839","-46.668456","355030806000077","-23.531839","-46.668456","0","40.46504244","1","29.99538451",False,True
5,"IRMA CAROLINA BELENZINHO","399.0",NULL,"belenzinho",213275,"58737049","RUA IRMA CAROLINA BELEM","120.0",NULL,"belem","100.0","30.08","53.33","81.35","-23.538703","-46.585449","355030808000066","-23.53927","-46.588071","355030808000020","-23.53927","-46.588071","0","274.62792747","1","57.97735015",False,True
6,"JAGUARIBE VILA BUARQUE","354.0",NULL,"vila buarque",2427416,"210839231","RUA  JAGUARIBE VILA BUARQUE","463.0",NULL,"vila buarque","100.0","76.46","100.0","95.29","-23.5423196","-46.6512235","355030826000225","-23.541546","-46.652264","355030826000226","-23.541546","-46.652264","0","136.56533354","1","15.42775888",False,True
7,"LORD COCKRANE IPIRANGA",NULL,NULL,"ipiranga",70304,"59054024","RUA  LORD COCKRANE IPIRANGA","214.0",NULL,"ipiranga","100.0","0.0","100.0","80.0","-23.59255827","-46.60173452","355030834000182","-23.593103","-46.605735","355030834000186","-23.593088","-46.605735","1.6679262","412.12675514","1","226.04443832",False,False
8,"RUA NOVA YORK BROOKLIN PAULISTA","927.0",NULL,"brooklin paulista",324176,"59107825","RUA  NOVA YORK ITAIM BIBI","927.0",NULL,"itaim bibi","100.0","100.0","44.44","94.44","-23.610862","-46.6806514","355030835000255","-23.610788","-46.680593","355030835000255","-23.610788","-46.680593","0","10.15439702","1","0",True,NULL
9,"INDIANA BROOKLIN PAULISTA","1096.0",NULL,"brooklin paulista",504390,"59108215","RUA  INDIANA ITAIM BIBI","1061.0",NULL,"itaim bibi","100.0","96.81","44.44","93.81","-23.612894","-46.681922","355030835000341","-23.608429","-46.687187","355030835000257","-23.608429","-46.687187","0","730.93056183","1","707.68705362",False,False
10,"JOVINIANO BRANDAO CORONEL VILA PRUDENTE","407.0",NULL,"vila prudente",1739094,"60037882","RUA CORONEL JOVINIANO BRANDAO MOOCA","407.0",NULL,"mooca","100.0","100.0","11.11","91.11","-23.56475472","-46.60126266","355030853000147","-23.575656","-46.58585","355030853000177","-23.575656","-46.58585","0","1984.152157","1","1860.9846886",False,False
11,"PURPURINA SUMAREZINHO","46.0",NULL,"sumarezinho",2533693,"61268649","RUA  PURPURINA PINHEIROS","46.0",NULL,"pinheiros","100.0","100.0","40.0","94.0","-23.56475251","-46.60127112","355030853000147","-23.55264","-46.689112","355030862000240","-23.55264","-46.689112","0","9054.10176958","1","8872.82082246",False,False
12,"ABACATUAJA VILA ITAIM","703.0",NULL,"vila itaim",724797,"225064809","RUA  ABACATUAJA VILA ITAIM","703.0",NULL,"vila itaim","100.0","100.0","100.0","100.0","-23.4883","-46.3963","355030844000144","-23.484788","-46.392658","355030844000141","-23.484788","-46.392658","0","538.94148879","1","475.07325074",False,False
13,"CONCEICAO DO ALMEIDA PARQUE PAULISTANO","120.0",NULL,"parque paulistano",9391,"61299195","TRAVESSA  CONCEICAO JD ITAPURA","150.0",NULL,"jardim itapura","100.0","80.0","32.26","89.23","-23.492","-46.4215","355030844000181","-23.689843","-46.659241","355030858000472","-23.689843","-46.659241","0","32724.24279743","1","32632.17770811",False,False
14,"ALAMEDA JAU CERQUEIRA CESAR","1061.0",NULL,"cerqueira cesar",168868,"60585576","ALAMEDA  JAU JARDIM PAULISTA","389.0",NULL,"jardim paulista","100.0","36.66","33.33","80.67","-23.5637254","-46.6587422","355030845000390","-23.567273","-46.653517","355030845000361","-23.567273","-46.653517","0","662.74670026","1","572.37879816",False,False
15,"AGUIAR DE BARROS BELA VISTA","160.0",NULL,"bela vista",264478,"61454067","ALAMEDA  BARROS SANTA CECILIA","161.0",NULL,"santa cecilia","100.0","99.38","60.87","95.96","-23.5539022","-46.6402413","355030866000285","-23.537457","-46.652703","355030869000279","-23.537457","-46.652703","0","2226.55780571","1","2124.12588652",False,False
16,"CARAIBAS PERDIZES","891.0",NULL,"perdizes",306947,"61043828","RUA  CARAIBAS PERDIZES","891.0",NULL,"perdizes","100.0","100.0","100.0","100.0","-23.53519","-46.68431","355030860000451","-23.535142","-46.684289","355030860000451","-23.535142","-46.684289","0","5.75071301","1","0",True,NULL
17,"JOAQUIM TAVORA VILA MARIANA","1568.0",NULL,"vila mariana",68984,"103377391","RUA  JOAQUIM TAVORA VILA MARIANA","791.0",NULL,"vila mariana","100.0","50.45","100.0","90.09","-23.5882217","-46.6474551","355030890000560","-23.585762","-46.64028","355030890000301","-23.5857295","-46.6402075","8.22467163","780.65952594","1","706.71467796",False,False
18,"ESPOSENDE JARDIM TRIANA","31.0",NULL,"jardim triana",1176435,"61729544","RUA  ESPOSENDE VILA MATILDE","40.0",NULL,"vila matilde","100.0","77.5","40.0","89.5","-23.538388","-46.508018","355030891000271","-23.53819","-46.507687","355030891000271","-23.53819","-46.507687","0","40.29055642","1","0",True,NULL
19,"VERBO DIVINO CHACARA SANTO ANTONIO","900.0",NULL,"chacara santo antonio",1430636,"204246025","RUA  VERBO DIVINO CHACARA SANTO ANTONIO","838.0",NULL,"chacara santo antonio","100.0","93.11","100.0","98.62","-23.63378","-46.70447","355030871000183","-23.634113","-46.703998","355030871000278","-23.634113","-46.703998","0","60.6872984","1","10.67622532",False,True
20,"AMARO GUERRA GRANJA JULIETA","27.0",NULL,"granja julieta",488768,"60796511","RUA  AMARO GUERRA CHACARA SANTO ANTONIO","32.0",NULL,"chacara santo antonio","100.0","84.38","28.57","89.73","-23.6337885","-46.7041533","355030871000183","-23.633827","-46.703985","355030871000278","-23.633827","-46.703985","0","17.6709153","1","0",False,True
21,"CENTRAL PARQUE LAGOA RICA","449.0",NULL,"parque lagoa rica",131629,"61290783","RUA  DA MINA CENTRAL HELIOPOLIS","453.0",NULL,"heliopolis","100.0","99.12","29.63","92.79","-23.869776","-46.778498","351510310000051","-23.618792","-46.591114","355030868000276","-23.618792","-46.591114","0","33802.71412635","1","32357.24611487",False,False
22,"INACIO MONTEIRO JARDIM SAO PAULOZONA LESTE","38.0",NULL,"jardim sao paulozona leste",104168,"59350431","RUA  INACIO MONTEIRO RUA INACIO MONTEIRO","30.0",NULL,"rua inacio monteiro","100.0","78.95","35.56","89.35","-23.58987395","-46.38117725","351570705000358","-23.583845","-46.384331","355030825000190","-23.583845","-46.384331","0","743.44443089","1","653.13441327",False,False
23,"ANGELO BONAVITA VILA SANTA MARIA","50.0",NULL,"vila santa maria",2737539,"59954634","RUA  ANGELO BONAVITA VILA SANTA MARIA","51.0",NULL,"vila santa maria","100.0","98.04","100.0","99.61","-23.484744","-46.672113","355030850000039","-23.484297","-46.673113","355030850000076","-23.484209","-46.6732685","18.634527","113.45199268","1","29.56842361",False,True
24,"CHAMANTA VILA PRUDENTE","362.0",NULL,"vila prudente",292420,"61818873","RUA  CHAMANTA VILA PRUDENTE","363.0",NULL,"vila prudente","100.0","99.72","100.0","99.94","-23.5735","-46.585524","355030853000175","-23.574565","-46.584826","355030893000131","-23.574565","-46.584826","0","138.14628105","1","99.45190955",False,False
25,"FRANCISCO JOSE DE BARROS VILA INACIO","160.0",NULL,"vila inacio",264478,"61454067","ALAMEDA  BARROS SANTA CECILIA","161.0",NULL,"santa cecilia","100.0","99.38","33.33","93.21","-23.407671","-46.759642","355030861000158","-23.537457","-46.652703","355030869000279","-23.537457","-46.652703","0","18089.6407219","1","17768.96050747",False,False
