ENDERECO:  antonio piranga centro
('antonio piranga centro', ' - ', 100.0, ' - ', 551, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 595, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 705, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 1034, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 1297, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 1388, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 1721, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 2243, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 2244, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 8027, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 8997, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 23814, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 23871, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 23888, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 23925, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24047, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24228, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24294, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24352, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24383, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24384, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24385, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24552, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24553, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24580, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24668, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24700, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24756, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24835, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24947, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 24971, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25004, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25044, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25154, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25155, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25301, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25302, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25410, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 25600, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 28367, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 29165, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 29405, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 29765, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 29852, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 29943, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 30291, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 30725, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 39146, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 39399, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 39596, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 39597, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 40088, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 40337, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 46429, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 46837, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 49827, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 50282, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 50976, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 50977, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 51302, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 59959, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 59997, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60125, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60299, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60373, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60403, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60436, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60847, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60899, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60935, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 60966, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61006, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61144, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61248, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61276, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61317, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61402, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61483, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61511, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61588, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61721, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61722, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61818, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61852, ' -> ', 12.978206, ' ->> ', 12.978206)
('antonio piranga centro', ' - ', 100.0, ' - ', 61853, ' -> ', 12.978206, ' ->> ', 12.978206)
