idx_df1;endereco_df1;idx_df2;endereco_df2;similaridade;sugestoes_top5
0;AV ANTONIO PIRANGA 614 CENTRO;39597;AVENIDA nan ANTONIO PIRANGA 61 CENTRO;98,51;
1;AVENIDA ANTONIO PIRANGA 700 CENTRO;50282;AVENIDA nan ANTONIO PIRANGA 700 CENTRO;100,0;
2;AV ANTONIO PIRANGA 614 CENTRO;39597;AVENIDA nan ANTONIO PIRANGA 61 CENTRO;98,51;
3;RUA DOS CARIRIS 195 PIRAPORINHA;3541;RUA nan DOS CARIRIS 195 PIRAPORINHA;100,0;
4;RUA MOACIAR GOULART CUNHA CALDAS 111 CENTRO;70850;RUA nan MOACYR GOULART CUNHA CALDAS 111 CONCEICAO;86,36;
5;PRACA RUI BARBOSA 27 PIRAPORINHA;160130;PRACA nan RUI BARBOSA 27 PIRAPORINHA;100,0;
6;AV NOSSA SENHORA DOS NAVEGANTES 288 ELDORADO;43091;AVENIDA NOSSA SENHORA DOS NAVEGANTES 289 ELDORADO;97,96;
7;RUA CAPIBARIBE 193 JARDIM CAMPANARIO;115200;RUA nan CAPIBARIBE 193 CAMPANARIO;100,0;
8;AV PIRAPORINHA 1682 PIRAPORINHA;30100;AVENIDA nan PIRAPORINHA 1682 PIRAPORINHA;100,0;
9;RUA JOSE BONIFACIO 1641 SERRARIA;74232;RUA nan JOSE BONIFACIO 1641 SERRARIA;100,0;
10;RUA TIRADENTES 100 CENTRO;39595;RUA nan TIRADENTES 100 CENTRO;100,0;
11;RUA MEM DE SA 280 JARDIM CASA GRANDE;172305;RUA nan MEM DE SA 280 CASA GRANDE;100,0;
12;AVN SAO JOSE 472 CENTRO;89141;AVENIDA SAO JOSE 472 CENTRO;100,0;
13;RUA SERRA DE MARACUJA 49 PARQUE REID;69982;RUA nan SERRA DE MARACUJA 49 CENTRO;87,27;
14;RUA BARAO DE IGUAPE 98 VIL SAO JOSE;162137;RUA nan IGUAPE 98 TABOAO;78,79;"RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA  IGUAPE 98 TABOAO (79); RUA BARAO DE IGUAPE 98 PIRAPORINHA (79)"
15;RUA SEBASTIAO FERNANDES TOURINHO 285 VIL NOGUEIRA;27959;RUA nan SEBASTIAO FERNANDES TOURINHO 285 VILA NOGUEIRA;98,99;
16;RUA DAS AMEIXEIRAS 679 JD ABC;165970;RUA nan DAS AMEIXEIRAS 979 TABOAO;80,65;"RUA  DAS AMEIXEIRAS 979 TABOAO (81); RUA  DAS AMEIXEIRAS 967 TABOAO (81); RUA  DAS AMEIXEIRAS 1169 TABOAO (79); RUA  DAS AMEIXEIRAS 941 TABOAO (77); RUA  DAS AMEIXEIRAS 955 TABOAO (77)"
17;RUA 22 DE ABRIL 113 JD CANHEMA;43122;RUA nan SETE DE ABRIL 64 CANHEMA;83,33;"RUA  SETE DE ABRIL 64 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 84 CANHEMA (83); RUA  SETE DE ABRIL 98 CANHEMA (83); RUA  SETE DE ABRIL 80 CANHEMA (83)"
18;RUA JOSE VICENTE 122 JD INAMAR;99539;RUA nan JOSE VICENTE 122 INAMAR;100,0;
19;RUA JAVARI 635 JD PAINEIRAS;21410;RUA nan JAVARI 635 TABOAO;80,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)"
20;AV ELDORADO 817 JARDIM RUYCE;98493;AVENIDA nan ELDORADO 817 JARDIM RUYCE;100,0;
21;RUA ODETE AMARAL DE OLIVEIRA 129 PRQ REAL;168293;RUA nan ODETE AMARAL DE OLIVEIRA 129 CONCEICAO;87,67;
22;RUA PRUDENTE DE MORAIS 300 JARDIM CASA GRANDE;139970;RUA nan PRUDENTE DE MORAIS 300 CASA GRANDE;100,0;
23;AV LICO MAIA 803 SERRARIA;11343;AVENIDA nan LICO MAIA 803 SERRARIA;100,0;
24;AVN PRESIDENTE JUSCELINO 759 PIRAPORINHA;64219;AVENIDA PRESIDENTE JUSCELINO 875 PIRAPORINHA;97,73;
25;AVENIDA SINESIO PEREIRA 27 CAMPANARIO;25087;AVENIDA nan SYNESIO PEREIRA 27 CAMPANARIO;97,3;
26;AVENIDA AFRANIO PEIXOTO 643 VILA PAULINA;13421;AVENIDA nan AFRANIO PEIXOTO 0 ELDORADO;80,7;"AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 0 ELDORADO (81); AVENIDA  AFRANIO PEIXOTO 27 ELDORADO (79); AVENIDA  AFRANIO PEIXOTO 89 ELDORADO (79)"
27;RUA ITALIA 290 JARDIM DAS NACOES;151049;RUA nan ITALIA 290 TABOAO;80,0;"RUA  ITALIA 290 TABOAO (80); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 290 CANHEMA (71); AVENIDA  DAS NACOES 90 CANHEMA (69); AVENIDA  DAS NACOES 90 CANHEMA (69)"
28;RUA GRACIOSA S/N CENTRO;16347;RUA nan GRACIOSA 0 CENTRO;95,0;
29;RUA CARAMURU 1255 VL CONCEICAO;131520;RUA nan CARAMURU 1255 CONCEICAO;100,0;
30;RUA MANOEL DA NOBREGA 605 VL CONCEICAO;87427;RUA nan MANOEL DA NOBREGA 0 CONCEICAO;96,88;
31;AVENIDA ANTONIO PIRANGA 700 CENTRO;50282;AVENIDA nan ANTONIO PIRANGA 700 CENTRO;100,0;
32;RUA NELSON RODRIGUES 191 VL CONCEICAO;67716;RUA nan NELSON RODRIGUES 191 CONCEICAO;100,0;
33;RUA SANTO AMARO 92 CENTRO;112213;RUA SANTO AMARO 92 CENTRO;100,0;
34;RUA COIMBRA 760 CENTRO;102803;RUA nan COIMBRA 70 CENTRO;97,67;
35;RUA BOROROS 80 CONCEICAO;51832;RUA nan BOROROS 480 CONCEICAO;97,96;
36;AVENIDA ANTONIO PIRANGA 556 CENTRO;61402;AVENIDA nan ANTONIO PIRANGA 556 CENTRO;100,0;
37;RUA JAVARI 635 JARDIM PAINEIRAS;21410;RUA nan JAVARI 635 TABOAO;80,0;"RUA  JAVARI 635 TABOAO (80); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69); RUA  JAVARI 0 TABOAO (69)"
38;RUA SAO JORGE 98 CENTRO;28001;RUA SAO JORGE 98 CENTRO;100,0;
39;ANTONIO PIRANGA 556 CENTRO;61402;AVENIDA nan ANTONIO PIRANGA 556 CENTRO;100,0;
40;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES 332 ELDORADO;100,0;
