idx_df1;endereco_df1;numero_df1;idx_df2;endereco_df2;numero_df2;similaridade_texto;similaridade_numero;similaridade_final;sugestoes_top5;similaridade
0;AV ANTONIO PIRANGA CENTRO;614,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
1;AVENIDA ANTONIO PIRANGA CENTRO;700,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
2;AV ANTONIO PIRANGA CENTRO;614,0;551;AVENIDA  ANTONIO PIRANGA CENTRO;125;100,0;0,0;90,0;"AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100); AVENIDA  ANTONIO PIRANGA CENTRO (100)";90,0
3;RUA DOS CARIRIS PIRAPORINHA;195,0;3541;RUA  DOS CARIRIS PIRAPORINHA;195;100,0;100,0;100,0;"RUA  DOS CARIRIS PIRAPORINHA (100); RUA  DOS CARIRIS PIRAPORINHA (100); RUA  DOS CARIRIS PIRAPORINHA (100); RUA  DOS CARIRIS PIRAPORINHA (100); RUA  DOS CARIRIS PIRAPORINHA (100)";100,0
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111,0;19162;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;251;85,0;0,0;76,5;"RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85); RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO (85)";76,5
5;PRACA RUI BARBOSA PIRAPORINHA;27,0;160130;PRACA  RUI BARBOSA PIRAPORINHA;27;100,0;100,0;100,0;"PRACA  RUI BARBOSA PIRAPORINHA (100); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (79); RUA CONEGO JANUARIO DA CUNHA BARBOSA PIRAPORINHA (79)";100,0
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288,0;938;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;332;100,0;12,0;91,2;"AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100); AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO (100)";91,2
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193,0;112622;RUA  CAPIBARIBE CAMPANARIO;0;100,0;0,0;90,0;"RUA  CAPIBARIBE CAMPANARIO (100); RUA  CAPIBARIBE CAMPANARIO (100); RUA  CAPIBARIBE CAMPANARIO (100); RUA  CAPIBARIBE CAMPANARIO (100); RUA  CAPIBARIBE CAMPANARIO (100)";90,0
8;AV PIRAPORINHA PIRAPORINHA;1682,0;21;AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA;330;100,0;0,0;90,0;"AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100); AVENIDA PRESIDENTE JUSCELINO PIRAPORINHA (100)";90,0
9;RUA JOSE BONIFACIO SERRARIA;1641,0;39070;RUA  JOSE BONIFACIO SERRARIA;1346;100,0;0,0;90,0;"RUA  JOSE BONIFACIO SERRARIA (100); RUA  JOSE BONIFACIO SERRARIA (100); RUA  JOSE BONIFACIO SERRARIA (100); RUA  JOSE BONIFACIO SERRARIA (100); RUA  JOSE BONIFACIO SERRARIA (100)";90,0
