idx_tratado;endereco_tratado;idx_bruto;endereco_bruto;similaridade;endereco_tratado_normalizado;endereco_bruto_normalizado;cep_tratado;cep_bruto;cep_igual;distancia_metros;lat_tratado;long_tratado;lat_bruto;long_bruto
0;av antonio piranga 614 centro;39597;avenida  antonio piranga 61 centro;98,50746268656717;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;09911160;09911160;True;2651,7045510760163;-23.686369;-46.597689;-23.686363;-46.623730
1;avenida antonio piranga 700 centro;50282;avenida  antonio piranga 700 centro;100,0;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;09911160;09911160;True;1504,5373679307743;-23.686098;-46.603650;-23.686248;-46.618424
2;av antonio piranga 614 centro;39597;avenida  antonio piranga 61 centro;98,50746268656717;avenida antonio piranga 614 centro;avenida  antonio piranga 61 centro;09911160;09911160;True;1157,1596221586467;-23.686369;-46.612366;-23.686363;-46.623730
3;rua dos cariris 195 piraporinha;3541;rua  dos cariris 195 piraporinha;100,0;rua dos cariris 195 piraporinha;rua  dos cariris 195 piraporinha;09951420;09951420;True;3878,7576337279165;-23.689318;-46.623000;-23.689450;-46.584908
4;rua moaciar goulart cunha caldas 111 centro;70850;rua  moacyr goulart cunha caldas 111 conceicao;86,36363636363636;rua moaciar goulart cunha caldas 111 centro;rua  moacyr goulart cunha caldas 111 conceicao;09911450;09911450;True;995,4873910485641;-23.690741;-46.625979;-23.690625;-46.616203
5;praca rui barbosa 27 piraporinha;160130;praca  rui barbosa 27 piraporinha;100,0;praca rui barbosa 27 piraporinha;praca  rui barbosa 27 piraporinha;09951530;09951540;False;38,46811709011387;-23.691040;-46.583043;-23.690702;-46.583124
6;av nossa senhora dos navegantes 288 eldorado;43091;avenida nossa senhora dos navegantes 289 eldorado;97,95918367346938;avenida nossa senhora dos navegantes 288 eldorado;avenida nossa senhora dos navegantes 289 eldorado;09972260;09972260;True;25,37540811636155;-23.717483;-46.624054;-23.717613;-46.623849
7;rua capibaribe 193 jardim campanario;115200;rua  capibaribe 193 campanario;100,0;rua capibaribe 193 jardim campanario;rua  capibaribe 193 campanario;09930530;09930530;True;307,50949017263133;-23.670447;-46.623000;-23.670499;-46.619981
8;av piraporinha 1682 piraporinha;30100;avenida  piraporinha 1682 piraporinha;100,0;avenida piraporinha 1682 piraporinha;avenida  piraporinha 1682 piraporinha;09950000;09950000;True;20,717934567412666;-23.691897;-46.587164;-23.691713;-46.587132
9;rua jose bonifacio 1641 serraria;74232;rua  jose bonifacio 1641 serraria;100,0;rua jose bonifacio 1641 serraria;rua  jose bonifacio 1641 serraria;09980150;09980150;True;1355,5043816570976;-23.706553;-46.623000;-23.706971;-46.609694
10;rua tiradentes 100 centro;39595;rua  tiradentes 100 centro;100,0;rua tiradentes 100 centro;rua  tiradentes 100 centro;09911160;09911190;False;41,25816697398955;-23.686167;-46.616583;-23.686536;-46.616541
11;rua mem de sa 280 jardim casa grande;172305;rua  mem de sa 280 casa grande;100,0;rua mem de sa 280 jardim casa grande;rua  mem de sa 280 casa grande;09961170;09961158;False;23,59593079535897;-23.699334;-46.591767;-23.699546;-46.591777
12;avn sao jose 472 centro;89141;avenida sao jose 472 centro;100,0;avenida sao jose 472 centro;avenida sao jose 472 centro;09910380;09910380;True;538,7601356809207;-23.689086;-46.623000;-23.689076;-46.628291
13;rua serra de maracuja 49 parque reid;69982;rua  serra de maracuja 49 centro;87,27272727272728;rua serra de maracuja 49 parque reid;rua  serra de maracuja 49 centro;09920040;09920040;True;331,2622804379809;-23.676691;-46.623000;-23.676620;-46.626252
14;rua barao de iguape 98 vil sao jose;162137;rua  iguape 98 taboao;78,78787878787878;rua barao de iguape 98 vil sao jose;rua  iguape 98 taboao;09950430;09932180;False;3318,6893163969935;-23.677685;-46.584901;-23.664945;-46.614370
15;rua sebastiao fernandes tourinho 285 vil nogueira;27959;rua  sebastiao fernandes tourinho 285 vila nogueira;98,98989898989899;rua sebastiao fernandes tourinho 285 vil nogueira;rua  sebastiao fernandes tourinho 285 vila nogueira;09951040;09951040;True;13,395887138726726;-23.688413;-46.595485;-23.688354;-46.595600
16;rua das ameixeiras 679 jd abc;165970;rua  das ameixeiras 979 taboao;80,64516129032258;rua das ameixeiras 679 jardim abc;rua  das ameixeiras 979 taboao;09940400;09940400;True;2363,338166435965;-23.665401;-46.623000;-23.664706;-46.599807
17;rua 22 de abril 113 jd canhema;43122;rua  sete de abril 64 canhema;83,33333333333333;rua 22 de abril 113 jardim canhema;rua  sete de abril 64 canhema;09941460;09941560;False;1533,9533490304666;-23.678010;-46.623000;-23.681764;-46.608505
18;rua jose vicente 122 jd inamar;99539;rua  jose vicente 122 inamar;100,0;rua jose vicente 122 jardim inamar;rua  jose vicente 122 inamar;09973020;09973020;True;10,987551750560419;-23.717048;-46.613337;-23.717143;-46.613307
19;rua javari 635 jd paineiras;21410;rua  javari 635 taboao;80,0;rua javari 635 jardim paineiras;rua  javari 635 taboao;09932210;09932210;True;167,19404289428078;-23.664817;-46.616060;-23.664585;-46.617682
20;av eldorado 817 jardim ruyce;98493;avenida  eldorado 817 jardim ruyce;100,0;avenida eldorado 817 jardim ruyce;avenida  eldorado 817 jardim ruyce;09961470;09961540;False;624,1926500460406;-23.710703;-46.606319;-23.710919;-46.600193
21;rua odete amaral de oliveira 129 prq real;168293;rua  odete amaral de oliveira 129 conceicao;87,67123287671232;rua odete amaral de oliveira 129 prq real;rua  odete amaral de oliveira 129 conceicao;09990155;09990155;True;39,809808599774215;-23.693584;-46.623000;-23.693253;-46.623149
22;rua prudente de morais 300 jardim casa grande;139970;rua  prudente de morais 300 casa grande;100,0;rua prudente de morais 300 jardim casa grande;rua  prudente de morais 300 casa grande;09960500;09960500;True;2428,018935096268;-23.695878;-46.623000;-23.695952;-46.599154
23;av lico maia 803 serraria;11343;avenida  lico maia 803 serraria;100,0;avenida lico maia 803 serraria;avenida  lico maia 803 serraria;09981420;09981030;False;1323,5370550379791;-23.699036;-46.623000;-23.699077;-46.610001
24;avn presidente juscelino 759 piraporinha;64219;avenida presidente juscelino 875 piraporinha;97,72727272727273;avenida presidente juscelino 759 piraporinha;avenida presidente juscelino 875 piraporinha;09950810;09950370;False;3522,310841203993;-23.683010;-46.623000;-23.682986;-46.588410
25;avenida sinesio pereira 27 campanario;25087;avenida  synesio pereira 27 campanario;97,29729729729729;avenida sinesio pereira 27 campanario;avenida  synesio pereira 27 campanario;09931375;09931375;True;48,11612800188388;-23.663797;-46.624089;-23.663601;-46.624510
26;avenida afranio peixoto 643 vila paulina;13421;avenida  afranio peixoto 0 eldorado;80,7017543859649;avenida afranio peixoto 643 vila paulina;avenida  afranio peixoto 0 eldorado;09971360;09971360;True;410,40252783784985;-23.729499;-46.623000;-23.732198;-46.620250
27;rua italia 290 jardim das nacoes;151049;rua  italia 290 taboao;80,0;rua italia 290 jardim das nacoes;rua  italia 290 taboao;09941030;09941030;True;24,90009663485707;-23.673751;-46.609739;-23.673847;-46.609518
