idx_tratado;idx_bruto;endereco_tratado;endereco_bruto;endereco_tratado_normalizado;endereco_bruto_normalizado;sugestoes_top5_similares;similaridade;lat_tratado;long_tratado;lat_bruto;long_bruto;distancia_metros;cep_tratado;cep_bruto;cep_igual;setor_tratado;setor_bruto;setor_igual;pontuacao_total;nivel_confianca
18;99539;rua jose vicente 122 jd inamar;rua  jose vicente 122 inamar;rua jose vicente 122 jardim inamar;rua  jose vicente 122 inamar;;100;-23.717.048;-46.613.337;-23.717.143;-46.613.307;10,98755175;9973020;9973020;True;3,5138E+14;3,5138E+14;True;99,78024896;Alta
15;27959;rua sebastiao fernandes tourinho 285 vil nogueira;rua  sebastiao fernandes tourinho 285 vila nogueira;rua sebastiao fernandes tourinho 285 vil nogueira;rua  sebastiao fernandes tourinho 285 vila nogueira;;98,98989899;-23.688.413;-46.595.485;-23.688.354;-46.595.600;13,39588714;9951040;9951040;True;3,5138E+14;3,5138E+14;True;99,42905195;Alta
39;61402;antonio piranga 556 centro;avenida  antonio piranga 556 centro;antonio piranga 556 centro;avenida  antonio piranga 556 centro;;100;-23.686.447;-46.618.944;-23.686.288;-46.618.993;18,37582108;9911160;9911160;True;3,5138E+14;3,5138E+14;True;99,63248358;Alta
32;67716;rua nelson rodrigues 191 vl conceicao;rua  nelson rodrigues 191 conceicao;rua nelson rodrigues 191 vila conceicao;rua  nelson rodrigues 191 conceicao;;100;-23.692.654;-46.618.090;-23.692.549;-46.617.933;19,76294397;9911440;9911440;True;3,5138E+14;3,5138E+14;True;99,60474112;Alta
8;30100;av piraporinha 1682 piraporinha;avenida  piraporinha 1682 piraporinha;avenida piraporinha 1682 piraporinha;avenida  piraporinha 1682 piraporinha;;100;-23.691.897;-46.587.164;-23.691.713;-46.587.132;20,71793457;9950000;9950000;True;3,5138E+14;3,5138E+14;True;99,58564131;Alta
11;172305;rua mem de sa 280 jardim casa grande;rua  mem de sa 280 casa grande;rua mem de sa 280 jardim casa grande;rua  mem de sa 280 casa grande;;100;-23.699.334;-46.591.767;-23.699.546;-46.591.777;23,5959308;9961170;9961158;False;3,5138E+14;3,5138E+14;True;89,52808138;Alta
27;151049;rua italia 290 jardim das nacoes;rua  italia 290 taboao;rua italia 290 jardim das nacoes;rua  italia 290 taboao;"rua  italia 290 taboao (80); avenida  das nacoes 290 canhema (71); avenida  das nacoes 290 canhema (71); avenida  das nacoes 90 canhema (69); avenida  das nacoes 90 canhema (69)";80;-23.673.751;-46.609.739;-23.673.847;-46.609.518;24,90009663;9941030;9941030;True;3,5138E+14;3,5138E+14;True;93,50199807;Alta
6;43091;av nossa senhora dos navegantes 288 eldorado;avenida nossa senhora dos navegantes 289 eldorado;avenida nossa senhora dos navegantes 288 eldorado;avenida nossa senhora dos navegantes 289 eldorado;;97,95918367;-23.717.483;-46.624.054;-23.717.613;-46.623.849;25,37540812;9972260;9972260;True;3,5138E+14;3,5138E+14;False;48,88024694;Media
5;160130;praca rui barbosa 27 piraporinha;praca  rui barbosa 27 piraporinha;praca rui barbosa 27 piraporinha;praca  rui barbosa 27 piraporinha;;100;-23.691.040;-46.583.043;-23.690.702;-46.583.124;38,46811709;9951530;9951540;False;3,5138E+14;3,5138E+14;True;89,23063766;Alta
21;168293;rua odete amaral de oliveira 129 prq real;rua  odete amaral de oliveira 129 conceicao;rua odete amaral de oliveira 129 prq real;rua  odete amaral de oliveira 129 conceicao;;87,67123288;-23.693.584;-46.623.000;-23.693.253;-46.623.149;39,8098086;9990155;9990155;True;3,5138E+14;3,5138E+14;True;95,50517369;Alta
10;39595;rua tiradentes 100 centro;rua  tiradentes 100 centro;rua tiradentes 100 centro;rua  tiradentes 100 centro;;100;-23.686.167;-46.616.583;-23.686.536;-46.616.541;41,25816697;9911160;9911190;False;3,5138E+14;3,5138E+14;True;89,17483666;Alta
38;28001;rua sao jorge 98 centro;rua sao jorge 98 centro;rua sao jorge 98 centro;rua sao jorge 98 centro;;100;-23.685.945;-46.626.031;-23.686.088;-46.626.424;43,08061037;9911070;9911070;True;3,5138E+14;3,5138E+14;True;99,13838779;Alta
29;131520;rua caramuru 1255 vl conceicao;rua  caramuru 1255 conceicao;rua caramuru 1255 vila conceicao;rua  caramuru 1255 conceicao;;100;-23.691.191;-46.610.021;-23.691.294;-46.609.601;44,22424179;9911510;9911510;True;3,5138E+14;3,5138E+14;True;99,11551516;Alta
25;25087;avenida sinesio pereira 27 campanario;avenida  synesio pereira 27 campanario;avenida sinesio pereira 27 campanario;avenida  synesio pereira 27 campanario;;97,2972973;-23.663.797;-46.624.089;-23.663.601;-46.624.510;48,116128;9931375;9931375;True;3,5138E+14;3,5138E+14;True;98,22686663;Alta
28;16347;rua graciosa s/n centro;rua  graciosa 0 centro;rua graciosa s/n centro;rua  graciosa 0 centro;;95;-23.688.461;-46.624.156;-23.689.491;-46.624.510;120,0845751;9910660;9910660;True;3,5138E+14;3,5138E+14;False;46,0983085;Media
31;50282;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;avenida antonio piranga 700 centro;avenida  antonio piranga 700 centro;;100;-23.686.120;-46.617.233;-23.686.248;-46.618.424;122,1536345;9911160;9911160;True;3,5138E+14;3,5138E+14;True;97,55692731;Alta
40;938;avenida nossa senhora dos navegantes 332 eldorado;avenida nossa senhora dos navegantes 332 eldorado;avenida nossa senhora dos navegantes 332 eldorado;avenida nossa senhora dos navegantes 332 eldorado;;100;-23.717.740;-46.625.165;-23.717.684;-46.623.864;132,6126166;9972260;9972260;True;3,5138E+14;3,5138E+14;False;47,34774767;Media
37;21410;rua javari 635 jardim paineiras;rua  javari 635 taboao;rua javari 635 jardim paineiras;rua  javari 635 taboao;"rua  javari 635 taboao (80); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69)";80;-23.664.802;-46.616.060;-23.664.585;-46.617.682;166,9448336;9932210;9932210;True;3,5138E+14;3,5138E+14;True;90,66110333;Alta
19;21410;rua javari 635 jd paineiras;rua  javari 635 taboao;rua javari 635 jardim paineiras;rua  javari 635 taboao;"rua  javari 635 taboao (80); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69); rua  javari 0 taboao (69)";80;-23.664.817;-46.616.060;-23.664.585;-46.617.682;167,1940429;9932210;9932210;True;3,5138E+14;3,5138E+14;True;90,65611914;Alta
