idx_df1;endereco_df1;numero_df1;complemento_df1;bairro_df1;idx_df2;cod_unico_df2;endereco_df2;numero_df2;complemento_df2;bairro_df2;similaridade_logradouro;similaridade_numero;similaridade_bairro;similaridade_final;latitude_verdadeira;longitude_verdadeira;cd_setor_verdadeiro;latitude_resultante;longitude_resultante;cd_setor_resultante;desvio_metros
0;AV ANTONIO PIRANGA CENTRO;614.0;3 ANDAR;centro;51302;49219192;AVENIDA  ANTONIO PIRANGA CENTRO;596;;centro;100.0;97.07;100.0;99.41;-23.686369;-46.618495;351380105000538;-23.686270;-46.618669;351380105000538;20.85934010286909
1;AVENIDA ANTONIO PIRANGA CENTRO;700.0;2 ANDAR;centro;50282;49219193;AVENIDA  ANTONIO PIRANGA CENTRO;700;;centro;100.0;100.0;100.0;100.0;-23.686098;-46.617136;351380105000538;-23.686248;-46.618424;351380105000538;132.2107303206193
2;AV ANTONIO PIRANGA CENTRO;614.0;2 ANDAR;centro;51302;49219192;AVENIDA  ANTONIO PIRANGA CENTRO;596;;centro;100.0;97.07;100.0;99.41;-23.686369;-46.618495;351380105000538;-23.686270;-46.618669;351380105000538;20.85934010286909
3;RUA DOS CARIRIS PIRAPORINHA;195.0;;piraporinha;3541;49343815;RUA  DOS CARIRIS PIRAPORINHA;195;;piraporinha;100.0;100.0;100.0;100.0;-23.689318;-46.585102;351380105000161;-23.689450;-46.584908;351380105000161;24.61020806710119
3;RUA DOS CARIRIS PIRAPORINHA;195.0;;piraporinha;3610;49343814;RUA  DOS CARIRIS PIRAPORINHA;195;;piraporinha;100.0;100.0;100.0;100.0;-23.689318;-46.585102;351380105000161;-23.690810;-46.584650;351380105000161;172.16885174117627
4;RUA MOACIAR GOULART CUNHA CALDAS CENTRO;111.0;;centro;26580;49426722;RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO;112;;conceicao;94.55;99.11;40.0;90.0;-23.690741;-46.616207;351380105000461;-23.690714;-46.616370;351380105000461;16.86672991442263
5;PRACA RUI BARBOSA PIRAPORINHA;27.0;;piraporinha;160130;49344051;PRACA  RUI BARBOSA PIRAPORINHA;27;;piraporinha;100.0;100.0;100.0;100.0;-23.691040;-46.583043;351380105000161;-23.690702;-46.583124;351380105000161;38.478279655447984
6;AV NOSSA SENHORA DOS NAVEGANTES ELDORADO;288.0;;eldorado;43091;49371418;AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO;289;;eldorado;100.0;99.65;100.0;99.93;-23.717483;-46.624198;351380105000987;-23.717613;-46.623849;351380105000636;38.35748680446429
7;RUA CAPIBARIBE JARDIM CAMPANARIO;193.0;;jardim campanario;115200;49231842;RUA  CAPIBARIBE CAMPANARIO;193;;campanario;100.0;100.0;100.0;100.0;-23.670447;-46.620124;351380105000043;-23.670499;-46.619981;351380105000045;15.669028938826507
8;AV PIRAPORINHA PIRAPORINHA;1682.0;;piraporinha;30100;49344461;AVENIDA  PIRAPORINHA PIRAPORINHA;1682;;piraporinha;100.0;100.0;100.0;100.0;-23.691897;-46.587164;351380105000162;-23.691713;-46.587132;351380105000162;20.71772587594972
9;RUA JOSE BONIFACIO SERRARIA;1641.0;;serraria;40021;49420452;RUA  JOSE BONIFACIO SERRARIA;1390;FUNDOS 1;serraria;100.0;84.7;100.0;96.94;-23.706553;-46.609089;351380105000646;-23.705063;-46.610750;351380105000433;236.74574487301456
9;RUA JOSE BONIFACIO SERRARIA;1641.0;;serraria;40203;49420453;RUA  JOSE BONIFACIO SERRARIA;1390;FUNDOS 2;serraria;100.0;84.7;100.0;96.94;-23.706553;-46.609089;351380105000646;-23.705063;-46.610801;351380105000433;240.4822368332262
10;RUA TIRADENTES CENTRO;100.0;;centro;39595;49219194;RUA  TIRADENTES CENTRO;100;;centro;100.0;100.0;100.0;100.0;-23.686167;-46.616583;351380105000538;-23.686536;-46.616541;351380105000538;41.25327194078649
11;RUA MEM DE SA JARDIM CASA GRANDE;280.0;;jardim casa grande;162216;49356944;RUA  MEM DE SA CASA GRANDE;285;FRENTE;casa grande;100.0;98.25;100.0;99.65;-23.699334;-46.591767;351380105000220;-23.699361;-46.591791;351380105000209;3.871034550021034
12;AVN SAO JOSE CENTRO;472.0;;centro;43372;224196991;AVENIDA SAO JOSE CENTRO;481;FRENTE;centro;100.0;98.13;100.0;99.63;-23.689086;-46.628390;351380105000998;-23.689420;-46.628359;351380105000012;37.27306054524453
12;AVN SAO JOSE CENTRO;472.0;;centro;44877;49220915;AVENIDA SAO JOSE CENTRO;481;FRENTE;centro;100.0;98.13;100.0;99.63;-23.689086;-46.628390;351380105000998;-23.689418;-46.628451;351380105000012;37.43566000482214
13;RUA SERRA DE MARACUJA PARQUE REID;49.0;;parque reid;69982;49223975;RUA  SERRA DE MARACUJA CENTRO;49;;centro;100.0;100.0;23.53;92.35;-23.676691;-46.626631;351380105000953;-23.676620;-46.626252;351380105000725;39.39479187190163
14;RUA BARAO DE IGUAPE VIL SAO JOSE;98.0;;vila sao jose;15269;49408491;RUA BARAO DE IGUAPE PIRAPORINHA;98;;piraporinha;100.0;100.0;33.33;93.33;-23.677685;-46.584106;351380105000390;-23.677487;-46.583598;351380105000390;56.222166288262336
15;RUA SEBASTIAO FERNANDES TOURINHO VIL NOGUEIRA;285.0;;vila nogueira;26719;49409956;RUA  SEBASTIAO FERNANDES TOURINHO VILA NOGUEIRA;299;FUNDOS;vila nogueira;100.0;95.32;100.0;99.06;-23.688413;-46.595611;351380105000394;-23.688270;-46.595684;351380105000394;17.552570139589797
16;RUA DAS AMEIXEIRAS JD ABC;679.0;;jardim abc;19643;49302625;AVENIDA  DAS AMEIXEIRAS TABOAO;597;;taboao;100.0;87.92;37.5;91.33;-23.665401;-46.602332;351380105000101;-23.665867;-46.603110;351380105000590;94.67372649989106
17;RUA 22 DE ABRIL JD CANHEMA;113.0;;jardim canhema;179101;224613910;RUA  VINTE E DOIS DE ABRIL CANHEMA;102;CASA 2;canhema;100.0;90.27;100.0;98.05;-23.678010;-46.604824;351380105000381;-23.677738;-46.603947;351380105000381;94.29116763000297
