"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"AV ANTONIO PIRANGA","614.0","3 ANDAR","CENTRO",107930,"220847873","AVENIDA  ANTONIO PIRANGA","615",NULL,"CENTRO","100.0","99.84","100.0","89.97","-23.686369","-46.618495","351380105000538","-23.685955","-46.618457","351380105000899","-23.685955","-46.618457","0","46.19710107","1","22.60888151",False,True
1,"AVENIDA ANTONIO PIRANGA","700.0","2 ANDAR","CENTRO",50282,"49219193","AVENIDA  ANTONIO PIRANGA","700",NULL,"CENTRO","100.0","100.0","100.0","90.0","-23.686098","-46.617136","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","132.21072973","1","0",True,NULL
2,"AV ANTONIO PIRANGA","614.0","2 ANDAR","CENTRO",107930,"220847873","AVENIDA  ANTONIO PIRANGA","615",NULL,"CENTRO","100.0","99.84","100.0","89.97","-23.686369","-46.618495","351380105000538","-23.685955","-46.618457","351380105000899","-23.685955","-46.618457","0","46.19710107","1","22.60888151",False,True
3,"RUA DOS CARIRIS","195.0",NULL,"PIRAPORINHA",3610,"49343814","RUA  DOS CARIRIS","195",NULL,"PIRAPORINHA","100.0","100.0","100.0","90.0","-23.689318","-46.585102","351380105000161","-23.69081","-46.58465","351380105000161","-23.69013","-46.584779","76.74510759","172.16885097","1","0",True,NULL
4,"RUA MOACIAR GOULART CUNHA CALDAS","111.0",NULL,"CENTRO",70850,"49426872","RUA  MOACYR GOULART CUNHA CALDAS","111",NULL,"CONCEICAO","100.0","100.0","40.0","90.0","-23.690741","-46.616207","351380105000461","-23.690625","-46.616203","351380105000461","-23.690625","-46.616203","0","12.90505823","1","0",True,NULL
5,"PRACA RUI BARBOSA","27.0",NULL,"PIRAPORINHA",160130,"49344051","PRACA  RUI BARBOSA","27",NULL,"PIRAPORINHA","100.0","100.0","100.0","90.0","-23.69104","-46.583043","351380105000161","-23.690702","-46.583124","351380105000161","-23.690702","-46.583124","0","38.47827948","1","0",True,NULL
6,"AV NOSSA SENHORA DOS NAVEGANTES","288.0",NULL,"ELDORADO",43091,"49371418","AVENIDA NOSSA SENHORA DOS NAVEGANTES","289",NULL,"ELDORADO","100.0","99.65","100.0","89.93","-23.717483","-46.624198","351380105000987","-23.717613","-46.623849","351380105000636","-23.7176595","-46.623850000000004","5.17157331","38.35748663","1","0",False,True
7,"RUA CAPIBARIBE","193.0",NULL,"JARDIM CAMPANARIO",115200,"49231842","RUA  CAPIBARIBE","193",NULL,"CAMPANARIO","100.0","100.0","100.0","90.0","-23.670447","-46.620124","351380105000043","-23.670499","-46.619981","351380105000045","-23.670499","-46.619981","0","15.66902887","1","0",False,True
8,"AV PIRAPORINHA","1682.0",NULL,"PIRAPORINHA",30100,"49344461","AVENIDA  PIRAPORINHA","1682",NULL,"PIRAPORINHA","100.0","100.0","100.0","90.0","-23.691897","-46.587164","351380105000162","-23.691713","-46.587132","351380105000162","-23.691713","-46.587132","0","20.71772578","1","0",True,NULL
9,"RUA JOSE BONIFACIO","1641.0",NULL,"SERRARIA",74232,"200549502","RUA  JOSE BONIFACIO","1641",NULL,"SERRARIA","100.0","100.0","100.0","90.0","-23.706553","-46.609089","351380105000646","-23.706971","-46.609694","351380105000646","-23.706971","-46.609694","0","77.16501608","1","0",True,NULL
10,"RUA TIRADENTES","100.0",NULL,"CENTRO",39595,"49219194","RUA  TIRADENTES","100",NULL,"CENTRO","100.0","100.0","100.0","90.0","-23.686167","-46.616583","351380105000538","-23.686536","-46.616541","351380105000538","-23.686536","-46.616541","0","41.25327176","1","0",True,NULL
11,"RUA MEM DE SA","280.0",NULL,"JARDIM CASA GRANDE",172305,"202227960","RUA  MEM DE SA","280",NULL,"CASA GRANDE","100.0","100.0","100.0","90.0","-23.699334","-46.591767","351380105000220","-23.699546","-46.591777","351380105000220","-23.699546","-46.591777","0","23.5953351","1","0",True,NULL
12,"AVN SAO JOSE","472.0",NULL,"CENTRO",89141,"199972211","AVENIDA SAO JOSE","472",NULL,"CENTRO","100.0","100.0","100.0","90.0","-23.689086","-46.62839","351380105000998","-23.689076","-46.628291","351380105000880","-23.689076","-46.628291","0","10.14188453","1","0",False,NULL
13,"RUA SERRA DE MARACUJA","49.0",NULL,"PARQUE REID",69982,"49223975","RUA  SERRA DE MARACUJA","49",NULL,"CENTRO","100.0","100.0","23.53","90.0","-23.676691","-46.626631","351380105000953","-23.67662","-46.626252","351380105000725","-23.67662","-46.626252","0","39.39479169","1","0",False,NULL
14,"RUA BARAO DE IGUAPE","98.0",NULL,"VIL SAO JOSE",15269,"49408491","RUA BARAO DE IGUAPE","98",NULL,"PIRAPORINHA","100.0","100.0","33.33","90.0","-23.677685","-46.584106","351380105000390","-23.677487","-46.583598","351380105000390","-23.677487","-46.583598","0","56.22216604","1","0",True,NULL
15,"RUA SEBASTIAO FERNANDES TOURINHO","285.0",NULL,"VIL NOGUEIRA",27959,"49409942","RUA  SEBASTIAO FERNANDES TOURINHO","285",NULL,"VILA NOGUEIRA","100.0","100.0","100.0","90.0","-23.688413","-46.595611","351380105000394","-23.688354","-46.5956","351380105000394","-23.688354","-46.5956","0","6.65544033","1","0",True,NULL
16,"RUA DAS AMEIXEIRAS","679.0",NULL,"JD ABC",163095,"202221746","AVENIDA  DAS AMEIXEIRAS","679",NULL,"TABOAO","100.0","100.0","37.5","90.0","-23.665401","-46.602332","351380105000101","-23.665332","-46.602125","351380105000101","-23.665332","-46.602125","0","22.43449514","1","0",True,NULL
17,"RUA 22 DE ABRIL","113.0",NULL,"JD CANHEMA",179141,"224613908","RUA  VINTE E DOIS DE ABRIL","108",NULL,"CANHEMA","100.0","95.58","100.0","89.12","-23.67801","-46.604824","351380105000381","-23.677786","-46.604168","351380105000381","-23.677786","-46.604168","0","71.2957497","1","0",True,NULL
18,"RUA JOSE VICENTE","122.0",NULL,"JD INAMAR",99539,"49377021","RUA  JOSE VICENTE","122",NULL,"INAMAR","100.0","100.0","100.0","90.0","-23.717048","-46.613337","351380105000283","-23.717143","-46.613307","351380105000283","-23.717143","-46.613307","0","10.99617384","1","0",True,NULL
19,"RUA JAVARI","635.0",NULL,"JD PAINEIRAS",21410,"199951524","RUA  JAVARI","635",NULL,"TABOAO","100.0","100.0","18.18","90.0","-23.664817","-46.617645","351380105000374","-23.664585","-46.617682","351380105000374","-23.664585","-46.617682","0","26.07102378","1","0",True,NULL
20,"AV ELDORADO","817.0",NULL,"JARDIM RUYCE",98493,"49360155","AVENIDA  ELDORADO","817",NULL,"JARDIM RUYCE","100.0","100.0","100.0","90.0","-23.710703","-46.599918","351380105000846","-23.710919","-46.600193","351380105000846","-23.710919","-46.600193","0","36.8880132","1","0",True,NULL
21,"RUA ODETE AMARAL DE OLIVEIRA","129.0",NULL,"PRQ REAL",168293,"49396454","RUA  ODETE AMARAL DE OLIVEIRA","129",NULL,"CONCEICAO","100.0","100.0","20.0","90.0","-23.693584","-46.622844","351380105000675","-23.693253","-46.623149","351380105000675","-23.693253","-46.623149","0","48.15717031","1","0",True,NULL
22,"RUA PRUDENTE DE MORAIS","300.0",NULL,"JARDIM CASA GRANDE",139970,"97191880","RUA  PRUDENTE DE MORAIS","300",NULL,"CASA GRANDE","99.77","100.0","100.0","89.84","-23.695878","-46.599147","351380105000237","-23.695952","-46.599154","351380105000237","-23.695952","-46.599154","0","8.25924689","1","0",True,NULL
23,"AV LICO MAIA","803.0",NULL,"SERRARIA",11343,"49428430","AVENIDA  LICO MAIA","803",NULL,"SERRARIA","100.0","100.0","100.0","90.0","-23.699036","-46.610028","351380105000466","-23.699077","-46.610001","351380105000466","-23.699077","-46.610001","0","5.32371354","1","0",True,NULL
24,"AVN PRESIDENTE JUSCELINO","759.0",NULL,"PIRAPORINHA",174714,"49406088","AVENIDA PRESIDENTE JUSCELINO","1195","FRENTE","PIRAPORINHA","100.0","63.51","100.0","82.7","-23.68301","-46.589364","351380105000995","-23.681957","-46.583093","351380105000776","-23.6818245","-46.583142499999994","15.57175935","649.22692393","1","4.6716835",False,True
25,"AVENIDA SINESIO PEREIRA","27.0",NULL,"CAMPANARIO",25087,"200897118","AVENIDA  SYNESIO PEREIRA","27",NULL,"CAMPANARIO","100.0","100.0","100.0","90.0","-23.663797","-46.624519","351380105000064","-23.663601","-46.62451","351380105000064","-23.663601","-46.62451","0","21.81350222","1","0",True,NULL
26,"AVENIDA AFRANIO PEIXOTO","643.0",NULL,"VILA PAULINA",174093,"222226869","AVENIDA  AFRANIO PEIXOTO","544",NULL,"ELDORADO","100.0","84.6","20.0","86.92","-23.729499","-46.616013","351380105000940","-23.729985","-46.617012","351380105000806","-23.729985","-46.617012","0","115.15947968","1","76.04554086",False,False
27,"RUA ITALIA","290.0",NULL,"JARDIM DAS NACOES",151049,"49307508","RUA  ITALIA","290",NULL,"TABOAO","100.0","100.0","26.09","90.0","-23.673751","-46.609552","351380105000119","-23.673847","-46.609518","351380105000119","-23.673847","-46.609518","0","11.22223542","1","0",True,NULL
28,"RUA GRACIOSA",NULL,NULL,"CENTRO",60940,"50151404","RUA  GRACIOSA","197","SOBRADO","CENTRO","100.0",NULL,"100.0","100.0","-23.688461","-46.624804","351380105000531","-23.689783","-46.624434","351380105000526","-23.6897995","-46.624407500000004","3.26303124","151.75115183","1","124.34057123",False,True
29,"RUA CARAMURU","1255.0",NULL,"VL CONCEICAO",131520,"200541649","RUA  CARAMURU","1255","TERREO INCLUSAO 2","CONCEICAO","100.0","100.0","100.0","90.0","-23.691191","-46.610021","351380105000350","-23.691294","-46.609601","351380105000350","-23.6912905","-46.609658499999995","5.86779861","44.27314236","1","0",True,NULL
30,"RUA MANOEL DA NOBREGA","605.0",NULL,"VL CONCEICAO",88204,"49400155","RUA  MANOEL DA NOBREGA","1149",NULL,"CONCEICAO","100.0","52.65","100.0","80.53","-23.690327","-46.622732","351380105000528","-23.693332","-46.624829","351380105000742","-23.693332","-46.624829","0","396.53857443","1","289.69181883",False,False
31,"AVENIDA ANTONIO PIRANGA","700.0",NULL,"CENTRO",50282,"49219193","AVENIDA  ANTONIO PIRANGA","700",NULL,"CENTRO","100.0","100.0","100.0","90.0","-23.68612","-46.617233","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","122.10941606","1","0",True,NULL
32,"RUA NELSON RODRIGUES","191.0",NULL,"VL CONCEICAO",67716,"49396891","RUA  NELSON RODRIGUES","191","FRENTE","CONCEICAO","100.0","100.0","100.0","90.0","-23.692654","-46.617952","351380105000343","-23.692549","-46.617933","351380105000343","-23.692549","-46.617933","0","11.83468328","1","0",True,NULL
33,"RUA SANTO AMARO","92.0",NULL,"CENTRO",112213,"97188507","RUA SANTO AMARO","92",NULL,"CENTRO","100.0","100.0","100.0","90.0","-23.683663","-46.632286","351380105000015","-23.683683","-46.632346","351380105000015","-23.683683","-46.632346","0","6.50194788","1","0",True,NULL
34,"RUA COIMBRA","760.0",NULL,"CENTRO",43728,"49431198","RUA  COIMBRA","763",NULL,"CENTRO","100.0","99.61","100.0","89.92","-23.697643","-46.62878","351380105000356","-23.697554","-46.628848","351380105000477","-23.697554","-46.628848","0","12.07789465","1","0",False,True
35,"RUA BOROROS","80.0",NULL,"CONCEICAO",113747,"200466358","RUA  BOROROS","83","CASA 3","CONCEICAO","100.0","96.39","100.0","89.28","-23.700026","-46.618561","351380105000331","-23.699988","-46.618633","351380105000443","-23.699988","-46.618624","0.91635466","8.46139911","1","0",False,True
36,"AVENIDA ANTONIO PIRANGA","556.0",NULL,"CENTRO",61402,"49219183","AVENIDA  ANTONIO PIRANGA","556","ENTRADA","CENTRO","100.0","100.0","100.0","90.0","-23.686446","-46.618944","351380105000538","-23.686288","-46.618993","351380105000538","-23.686288","-46.618993","0","18.26360484","1","0",True,NULL
