"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"AV ANTONIO PIRANGA CENTRO","614.0","3 ANDAR","centro",51302,"49219192","AVENIDA  ANTONIO PIRANGA CENTRO","596",NULL,"centro","100.0","97.07","100.0","99.41","-23.686369","-46.618495","351380105000538","-23.68627","-46.618669","351380105000538","-23.68627","-46.618669","0","20.85934001","1","0",True,NULL
1,"AVENIDA ANTONIO PIRANGA CENTRO","700.0","2 ANDAR","centro",50282,"49219193","AVENIDA  ANTONIO PIRANGA CENTRO","700",NULL,"centro","100.0","100.0","100.0","100.0","-23.686098","-46.617136","351380105000538","-23.686248","-46.618424","351380105000538","-23.686248","-46.618424","0","132.21072973","1","0",True,NULL
2,"AV ANTONIO PIRANGA CENTRO","614.0","2 ANDAR","centro",51302,"49219192","AVENIDA  ANTONIO PIRANGA CENTRO","596",NULL,"centro","100.0","97.07","100.0","99.41","-23.686369","-46.618495","351380105000538","-23.68627","-46.618669","351380105000538","-23.68627","-46.618669","0","20.85934001","1","0",True,NULL
3,"RUA DOS CARIRIS PIRAPORINHA","195.0",NULL,"piraporinha",3610,"49343814","RUA  DOS CARIRIS PIRAPORINHA","195",NULL,"piraporinha","100.0","100.0","100.0","100.0","-23.689318","-46.585102","351380105000161","-23.69081","-46.58465","351380105000161","-23.69013","-46.584779","76.74510759","172.16885097","1","0",True,NULL
4,"RUA MOACIAR GOULART CUNHA CALDAS CENTRO","111.0",NULL,"centro",26580,"49426722","RUA  MOACYR GOULART CUNHA CALDAS CONCEICAO","112",NULL,"conceicao","94.55","99.11","40.0","90.0","-23.690741","-46.616207","351380105000461","-23.690714","-46.61637","351380105000461","-23.690714","-46.61637","0","16.86672984","1","0",True,NULL
5,"PRACA RUI BARBOSA PIRAPORINHA","27.0",NULL,"piraporinha",160130,"49344051","PRACA  RUI BARBOSA PIRAPORINHA","27",NULL,"piraporinha","100.0","100.0","100.0","100.0","-23.69104","-46.583043","351380105000161","-23.690702","-46.583124","351380105000161","-23.690702","-46.583124","0","38.47827948","1","0",True,NULL
6,"AV NOSSA SENHORA DOS NAVEGANTES ELDORADO","288.0",NULL,"eldorado",43091,"49371418","AVENIDA NOSSA SENHORA DOS NAVEGANTES ELDORADO","289",NULL,"eldorado","100.0","99.65","100.0","99.93","-23.717483","-46.624198","351380105000987","-23.717613","-46.623849","351380105000636","-23.717613","-46.623849","0","38.35748663","1","0",False,True
7,"RUA CAPIBARIBE JARDIM CAMPANARIO","193.0",NULL,"jardim campanario",115200,"49231842","RUA  CAPIBARIBE CAMPANARIO","193",NULL,"campanario","100.0","100.0","100.0","100.0","-23.670447","-46.620124","351380105000043","-23.670499","-46.619981","351380105000045","-23.670499","-46.619981","0","15.66902887","1","0",False,True
8,"AV PIRAPORINHA PIRAPORINHA","1682.0",NULL,"piraporinha",30100,"49344461","AVENIDA  PIRAPORINHA PIRAPORINHA","1682",NULL,"piraporinha","100.0","100.0","100.0","100.0","-23.691897","-46.587164","351380105000162","-23.691713","-46.587132","351380105000162","-23.691713","-46.587132","0","20.71772578","1","0",True,NULL
9,"RUA JOSE BONIFACIO SERRARIA","1641.0",NULL,"serraria",40021,"49420452","RUA  JOSE BONIFACIO SERRARIA","1390","FUNDOS 1","serraria","100.0","84.7","100.0","96.94","-23.706553","-46.609089","351380105000646","-23.705063","-46.61075","351380105000433","-23.705063","-46.6107755","2.59623724","236.74574381","1","0",False,True
10,"RUA TIRADENTES CENTRO","100.0",NULL,"centro",39595,"49219194","RUA  TIRADENTES CENTRO","100",NULL,"centro","100.0","100.0","100.0","100.0","-23.686167","-46.616583","351380105000538","-23.686536","-46.616541","351380105000538","-23.686536","-46.616541","0","41.25327176","1","0",True,NULL
11,"RUA MEM DE SA JARDIM CASA GRANDE","280.0",NULL,"jardim casa grande",162216,"49356944","RUA  MEM DE SA CASA GRANDE","285","FRENTE","casa grande","100.0","98.25","100.0","99.65","-23.699334","-46.591767","351380105000220","-23.699361","-46.591791","351380105000209","-23.699361","-46.591791","0","3.87103453","1","0",False,True
12,"AVN SAO JOSE CENTRO","472.0",NULL,"centro",43372,"224196991","AVENIDA SAO JOSE CENTRO","481","FRENTE","centro","100.0","98.13","100.0","99.63","-23.689086","-46.62839","351380105000998","-23.68942","-46.628359","351380105000012","-23.689419","-46.628405","4.68528931","37.27306038","1","7.3773853",False,NULL
13,"RUA SERRA DE MARACUJA PARQUE REID","49.0",NULL,"parque reid",69982,"49223975","RUA  SERRA DE MARACUJA CENTRO","49",NULL,"centro","100.0","100.0","23.53","92.35","-23.676691","-46.626631","351380105000953","-23.67662","-46.626252","351380105000725","-23.67662","-46.626252","0","39.39479169","1","0",False,NULL
14,"RUA BARAO DE IGUAPE VIL SAO JOSE","98.0",NULL,"vila sao jose",15269,"49408491","RUA BARAO DE IGUAPE PIRAPORINHA","98",NULL,"piraporinha","100.0","100.0","33.33","93.33","-23.677685","-46.584106","351380105000390","-23.677487","-46.583598","351380105000390","-23.677487","-46.583598","0","56.22216604","1","0",True,NULL
