"idx_df1","endereco_df1","numero_df1","complemento_df1","bairro_df1","idx_df2","cod_unico_df2","endereco_df2","numero_df2","complemento_df2","bairro_df2","similaridade_logradouro","similaridade_numero","similaridade_bairro","similaridade_final","latitude_verdadeira","longitude_verdadeira","cd_setor_verdadeiro","latitude_resultante","longitude_resultante","cd_setor_resultante","med_lat","med_lon","dist_mediana","desvio_metros","rn","distancia_metros_setor","setor_correspondente","setor_vizinho_verdadeiro"
0,"ROLIM DE MOURA DO GUAPORE",NULL,"ZONA RURAL",NULL,101104,"92554483","RUA  ROLIM DE MOURA","2066",NULL,"SETOR 03","100.0",NULL,"0.0","100.0","-13.08366621","-62.27693003","110001530000001","-10.202797","-63.829863","110045205000003","-10.202714","-63.829769999999996","13.73906488","362233.70750895","1","359960.98243615",False,False
1,"RUA AIRTON SENNA","4193.0","ESCOLA","JARDIM DOS ESTADOS",843457,"1291127","RUA  AIRTON SENNA","4129",NULL,"JARDIM NOVO ESTADO","100.0","98.47","72.22","89.69","-10.4420037","-62.4656261","110011405000011","-10.417882","-62.481055","110011405000043","-10.417882","-62.481055","0","3168.77829827","1","2741.97416434",False,False
2,"BR 364 LINHA 619 KM 01",NULL,"ZONA RURAL","ZONA RURAL",425579,"180301907","RODOVIA  BR 319","0",NULL,"RODOVIA BR 319","100.0",NULL,"33.33","100.0","-10.442004","-62.4656275","110011405000011","-8.352231","-63.871549","110020505000064","-8.3518405","-63.871509","43.64410303","278894.42112646","1","277550.01444033",False,False
3,"RUA RAIMUNDO BARRETO","890.0",NULL,"SETOR 07",951523,"1283574","RUA  RAIMUNDO BARRETO","890",NULL,"SETOR 07","100.0","100.0","100.0","90.0","-10.4420014","-62.4656282","110011405000011","-10.450638","-62.477101","110011405000019","-10.450638","-62.477101","0","1579.9441282","1","1410.5494351",False,False
4,"RUA PIAUI",NULL,NULL,"DISTRITO DE BOM JESUS",308468,"215041889","RUA  PIAUI","0","CASA SEM ROBOCO","BOM JESUS","100.0",NULL,"100.0","100.0","-10.4420038","-62.4656369","110011405000011","-10.315699","-62.242014","110011410000001","-10.315697","-62.2419595","5.9663221","28204.34995988","1","27721.39226144",False,False
5,"AVENIDA BRASIL","2633.0","EM FRENTE A IGREJA","SETOR 05",924487,"1287027","AVENIDA  BRASIL","2633",NULL,"SETOR 05","100.0","100.0","100.0","90.0","-10.4420004","-62.4656477","110011405000011","-10.429914","-62.474921","110011405000029","-10.429914","-62.474921","0","1683.61857208","1","1259.60033867",False,False
6,"RUA OSVALDO CRUZ","2675.0","BAIRRO NOVO HORIZONT","SETOR 04",367560,"91975305","RUA  OSVALDO CRUZ","2403","CASA","SETOR 04","100.0","89.83","100.0","87.97","-10.4420068","-62.465645","110011405000011","-10.436692","-62.483341","110011405000004","-10.4366845","-62.483347","1.06113356","2023.36669463","1","1597.77800396",False,False
7,"RUA MARGARETE FERREIRA COSTA","1254.0","SETOR 08","JARDIM BELA VISTA",548983,"180232590","RUA  MARGARETE FERREIRA COSTA","1955",NULL,"LINHA 608","100.0","64.14","23.08","82.83","-10.4420132","-62.4656624","110011405000011","-10.457704","-62.453769","110011405000046","-10.457704","-62.453769","0","2176.13289743","1","2139.53021734",False,False
8,"LINHA 627 KM 90 JARU UARU",NULL,"JARU UARU","ZONA RURAL",76257,"109017421","AVENIDA  JARU","0",NULL,"SETOR 06","100.0",NULL,"22.22","100.0","-10.4420036","-62.465758","110011405000011","-9.903652","-63.029522","110002305000059","-9.9036545","-63.029480500000005","4.55432262","85968.63883798","1","85367.20046575",False,False
9,"LINHA 617",NULL,NULL,"ZONA RURAL",118852,"110620932","LINHA  617","19","LADO DIREITO","LINHA 619","100.0",NULL,"31.58","100.0","-10.4418868","-62.4657928","110011405000011","-10.479208","-62.694341","110011405000055","-10.466616","-62.705212","1836.68024255","25333.28602092","1","25046.44903965",False,False
10,"AVENIDA RIO BRANCO","1253.0","SETOR 02","CENTRO",355434,"1324866","RUA  RIO BRANCO","1245",NULL,"CENTRO","100.0","99.36","100.0","89.87","-10.4418784","-62.4656997","110011405000011","-13.192098","-60.807246","110005605000008","-13.192098","-60.807246","0","355098.1194814","1","353800.87038779",False,NULL
11,"RUA GOIAS","3143.0",NULL,"SETOR 02",378139,"1280830","RUA  GOIAS","3143",NULL,"SETOR 02","100.0","100.0","100.0","90.0","-10.441434","-62.4649284","110011405000011","-10.441486","-62.464715","110011405000011","-10.441486","-62.464715","0","24.0417625","1","0",True,NULL
12,"AVENIDA PADRE ADOLPHO RHOL","1260.0","CENTRO","SETOR 02",400943,"180340638","RUA PADRE ADOLPHO RHOL","1062",NULL,"BANDEIRA BRANCA","100.0","84.29","17.39","86.86","-10.4395948","-62.4670841","110011405000011","-11.078255","-61.920645","110025425000001","-11.078255","-61.920645","0","92771.19503441","1","92157.26401187",False,False
13,"RUA RIO DEJANEIRO","2436.0",NULL,"SETOR 03",89390,"1282485","RUA  RIO DE JANEIRO","2430",NULL,"SETOR 03","100.0","99.75","100.0","89.95","-10.4431285","-62.4706698","110011405000016","-10.443412","-62.471268","110011405000016","-10.443412","-62.471268","0","72.6145791","1","0",True,NULL
14,"RUA RIO DE JANEIRO","2315.0","ESCOLA","LIBERDADE",3758,"1234791","RUA  RIO DE JANEIRO","2875","CASA","LIBERDADE","100.0","80.52","100.0","86.1","-10.4451256","-62.4731878","110011405000016","-11.532095","-61.005214","110009805000011","-11.532095","-61.005214","0","200708.78285744","1","200071.03170509",False,False
15,"RUA FLORIANOPOLIS","3045.0","ENFRENTE CEF","SETOR 2",445732,"215173975","RUA  FLORIANOPOLIS","3045",NULL,"SETOR 02","96.78","100.0","93.33","87.75","-10.4419201","-62.4701933","110011405000017","-10.438738","-62.467621","110011405000010","-10.438738","-62.467621","0","452.02147657","1","191.76234627",False,True
16,"RUA FLORIANOPOLIS","1175.0","ESCOLA","JARDIM ESPERANCA - SETOR 07",322235,"91976418","RUA  FLORIANOPOLIS","1175",NULL,"SETOR 07","100.0","100.0","100.0","90.0","-10.4497374","-62.4816736","110011405000019","-10.449599","-62.481634","110011405000020","-10.449599","-62.481634","0","15.9870276","1","4.02344777",False,True
17,"AVENIDA DOM PEDRO I","1625.0","PREDIO","JARDIM NOVO HORIZONTE",749746,"215002955","RUA DOM PEDRO I","1723",NULL,"JARDIM CLODOALDO","100.0","94.31","54.55","88.86","-10.4361996","-62.4843056","110011405000024","-11.426757","-61.447432","110004905000041","-11.426757","-61.447432","0","157944.72433385","1","157571.84102773",False,False
